,genes,description,MF Terms,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum
0,LAMC1,laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492],['extracellular matrix constituent conferring elasticity'],1,0,0,0,0,0,1,1,1,2
110,CLTC,clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092],"['protein kinase binding', 'double-stranded RNA binding', 'low-density lipoprotein particle receptor binding', 'clathrin light chain binding', 'structural molecule activity', 'ubiquitin-specific protease binding', 'disordered domain specific binding']",1,1,1,0,0,1,1,3,2,5
111,AMPH,amphiphysin [Source:HGNC Symbol;Acc:HGNC:471],"['protein binding', 'phospholipid binding']",1,1,1,1,1,1,1,3,4,7
112,STXBP5L,syntaxin binding protein 5 like [Source:HGNC Symbol;Acc:HGNC:30757],"['GTPase activator activity', 'small GTPase binding', 'syntaxin binding', 'myosin II binding']",1,0,1,1,0,0,0,2,1,3
113,STAT3,signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364],"['primary miRNA binding', 'CCR5 chemokine receptor binding', 'DNA-binding transcription activator activity, RNA polymerase II-specific', 'chromatin DNA binding', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'glucocorticoid receptor binding', 'protein kinase binding', 'RNA polymerase II repressing transcription factor binding', 'protein homodimerization activity', 'nuclear receptor activity', 'protein phosphatase binding']",1,0,0,1,0,0,1,1,2,3
114,SLC29A1,solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003],"['uridine transmembrane transporter activity', 'purine nucleoside transmembrane transporter activity', 'neurotransmitter transmembrane transporter activity']",1,0,0,0,0,1,0,1,1,2
115,LPAR2,lysophosphatidic acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:3168],"['protein binding', 'lysophosphatidic acid receptor activity', 'lipid binding']",1,0,0,0,0,0,0,1,0,1
116,PTK2B,protein tyrosine kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:9612],"['3-phosphoinositide-dependent protein kinase binding', 'ubiquitin protein ligase binding', 'calmodulin-dependent protein kinase activity', 'non-membrane spanning protein tyrosine kinase activity', 'ATP binding', 'protein-containing complex binding', 'protein C-terminus binding', 'NMDA glutamate receptor activity', 'signaling receptor binding']",1,1,0,1,0,0,0,2,1,3
117,GABBR1,gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070],"['protein binding', 'G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential', 'G protein-coupled GABA receptor activity']",1,1,1,1,1,1,1,3,4,7
118,PSEN2,presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509],"['protein binding', 'aspartic endopeptidase activity, intramembrane cleaving']",1,0,1,0,0,0,0,2,0,2
119,EIF4E,eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287],"['RNA 7-methylguanosine cap binding', 'eukaryotic initiation factor 4G binding', 'enzyme binding', 'translation initiation factor activity', 'repressing transcription factor binding']",1,1,0,1,0,0,1,2,2,4
120,DRD3,dopamine receptor D3 [Source:HGNC Symbol;Acc:HGNC:3024],"['protein domain specific binding', 'G protein-coupled receptor activity', 'D1 dopamine receptor binding', 'dopamine binding', 'dopamine neurotransmitter receptor activity, coupled via Gi/Go', 'drug binding']",1,0,0,0,0,0,0,1,0,1
121,SLC6A4,solute carrier family 6 member 4 [Source:HGNC Symbol;Acc:HGNC:11050],"['nitric-oxide synthase binding', 'serotonin:sodium symporter activity', 'serotonin binding', 'identical protein binding', 'actin filament binding', 'cocaine binding', 'syntaxin-1 binding', 'metal ion binding', 'neurotransmitter transmembrane transporter activity']",1,0,1,0,0,0,0,2,0,2
122,RPL14,ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305],"['RNA binding', 'cadherin binding', 'structural constituent of ribosome']",1,1,0,1,1,1,1,2,4,6
123,MYH10,myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568],"['calmodulin binding', 'ADP binding', 'RNA stem-loop binding', ""mRNA 5'-UTR binding"", 'actin filament binding', 'microfilament motor activity', 'ATP binding', 'actin-dependent ATPase activity']",1,1,1,1,1,1,1,3,4,7
124,RNF10,ring finger protein 10 [Source:HGNC Symbol;Acc:HGNC:10055],"['protein binding', 'ubiquitin protein ligase activity', 'transcription regulatory region sequence-specific DNA binding', 'metal ion binding']",1,0,0,0,0,0,0,1,0,1
125,FZD9,frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047],"['Wnt-protein binding', 'Wnt-activated receptor activity', 'G protein-coupled receptor activity', 'protein homodimerization activity', 'protein heterodimerization activity']",1,0,0,0,0,0,0,1,0,1
126,NRXN1,neurexin 1 [Source:HGNC Symbol;Acc:HGNC:8008],"['calcium ion binding', 'signaling receptor activity', 'neuroligin family protein binding', 'acetylcholine receptor binding', 'calcium channel regulator activity', 'cell adhesion molecule binding']",1,1,1,1,1,1,1,3,4,7
127,PPFIA2,PTPRF interacting protein alpha 2 [Source:HGNC Symbol;Acc:HGNC:9246],"['protein binding', 'structural constituent of presynapse']",1,1,1,1,1,1,1,3,4,7
128,SCN2A,sodium voltage-gated channel alpha subunit 2 [Source:HGNC Symbol;Acc:HGNC:10588],"['voltage-gated sodium channel activity', 'protein binding', 'voltage-gated ion channel activity']",1,1,1,0,0,0,1,3,1,4
129,RPS26,ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:10414],"['mRNA binding', 'cadherin binding', 'structural constituent of ribosome']",1,0,0,1,0,1,1,1,3,4
130,ITSN1,intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183],"['guanyl-nucleotide exchange factor activity', 'molecular adaptor activity', 'calcium ion binding', 'proline-rich region binding']",1,0,0,1,1,1,1,1,4,5
131,ATP6V1H,ATPase H+ transporting V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303],"['protein binding', 'proton-transporting ATPase activity, rotational mechanism', 'ATPase activity', 'enzyme regulator activity']",1,1,1,1,1,1,1,3,4,7
132,HIP1R,huntingtin interacting protein 1 related [Source:HGNC Symbol;Acc:HGNC:18415],"['SH3 domain binding', 'phosphatidylinositol-4,5-bisphosphate binding', 'phosphatidylinositol-3,5-bisphosphate binding', 'clathrin light chain binding', 'protein homodimerization activity', 'actin filament binding', 'phosphatidylinositol-3,4,5-trisphosphate binding', 'clathrin adaptor activity', 'phosphatidylinositol-3,4-bisphosphate binding', 'protein heterodimerization activity']",1,1,0,1,1,1,1,2,4,6
133,SLC8A2,solute carrier family 8 member A2 [Source:HGNC Symbol;Acc:HGNC:11069],"['calmodulin binding', 'calcium:sodium antiporter activity', 'calcium:cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion concentration', 'metal ion binding']",1,0,1,0,0,0,1,2,1,3
134,CAMK2A,calcium/calmodulin dependent protein kinase II alpha [Source:HGNC Symbol;Acc:HGNC:1460],"['calmodulin binding', 'glutamate receptor binding', 'calmodulin-dependent protein kinase activity', 'protein homodimerization activity', 'calcium-dependent protein serine/threonine kinase activity', 'ATP binding', 'metal ion binding']",1,1,1,1,1,1,0,3,3,6
135,PIP5K1C,phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [Source:HGNC Symbol;Acc:HGNC:8996],"['protein binding', '1-phosphatidylinositol-4-phosphate 5-kinase activity', 'ATP binding']",1,1,1,1,0,0,1,3,2,5
136,SPTB,"spectrin beta, erythrocytic [Source:HGNC Symbol;Acc:HGNC:11274]","['ankyrin binding', 'actin filament binding', 'structural constituent of cytoskeleton']",1,1,1,1,1,0,0,3,2,5
137,RPS15A,ribosomal protein S15a [Source:HGNC Symbol;Acc:HGNC:10389],"['protein binding', 'RNA binding', 'structural constituent of ribosome']",1,1,0,1,0,0,0,2,1,3
138,HPCA,hippocalcin [Source:HGNC Symbol;Acc:HGNC:5144],"['identical protein binding', 'kinase binding', 'calcium ion binding', 'actin binding']",1,1,1,0,0,0,0,3,0,3
139,DGKB,diacylglycerol kinase beta [Source:HGNC Symbol;Acc:HGNC:2850],"['calcium ion binding', 'lipid binding', 'NAD+ kinase activity', 'diacylglycerol kinase activity', 'ATP binding']",1,1,0,1,1,0,0,2,2,4
140,ELAVL2,ELAV like RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3313],"[""mRNA 3'-UTR binding"", 'protein binding']",1,0,0,1,0,1,1,1,3,4
141,ACTR2,actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169],"['actin filament binding', 'structural constituent of cytoskeleton', 'ATP binding']",1,1,1,1,1,1,1,3,4,7
142,FXR1,FMR1 autosomal homolog 1 [Source:HGNC Symbol;Acc:HGNC:4023],"[""mRNA 3'-UTR binding"", 'protein homodimerization activity', 'translation regulator activity', 'protein heterodimerization activity', 'RNA strand annealing activity']",1,0,0,1,0,1,1,1,3,4
143,CAMK2B,calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461],"['calmodulin binding', 'calmodulin-dependent protein kinase activity', 'actin binding', 'protein homodimerization activity', 'ATP binding']",1,1,1,1,1,1,1,3,4,7
144,DVL1,dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084],"['protein kinase binding', 'identical protein binding', 'small GTPase binding', 'frizzled binding', 'beta-catenin binding']",1,0,1,0,0,0,1,2,1,3
145,KCNJ11,potassium inwardly rectifying channel subfamily J member 11 [Source:HGNC Symbol;Acc:HGNC:6257],"['ion channel binding', 'ATPase-coupled cation transmembrane transporter activity', 'ankyrin binding', 'heat shock protein binding', 'potassium ion binding', 'ATP-activated inward rectifier potassium channel activity', 'ATP binding', 'protein C-terminus binding']",1,0,0,0,0,0,0,1,0,1
146,CSPG5,chondroitin sulfate proteoglycan 5 [Source:HGNC Symbol;Acc:HGNC:2467],['growth factor activity'],1,1,1,1,1,0,0,3,2,5
147,STON2,stonin 2 [Source:HGNC Symbol;Acc:HGNC:30652],['clathrin adaptor activity'],1,1,0,0,0,0,1,2,1,3
148,NAPG,NSF attachment protein gamma [Source:HGNC Symbol;Acc:HGNC:7642],"['soluble NSF attachment protein activity', 'syntaxin binding']",1,1,1,1,1,0,1,3,3,6
149,TANC2,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:HGNC Symbol;Acc:HGNC:30212]",None,1,0,0,1,1,1,1,1,4,5
150,TSC2,TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363],"['GTPase activator activity', 'phosphatase binding', 'protein homodimerization activity', 'Hsp90 protein binding', 'small GTPase binding']",1,1,0,1,0,1,1,2,3,5
151,CLSTN1,calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447],"['amyloid-beta binding', 'kinesin binding', 'X11-like protein binding', 'calcium ion binding']",1,0,0,1,0,0,0,1,1,2
152,DTNBP1,dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328],['protein binding'],1,0,0,0,0,0,0,1,0,1
153,AP3D1,adaptor related protein complex 3 subunit delta 1 [Source:HGNC Symbol;Acc:HGNC:568],['protein binding'],1,1,1,1,1,1,1,3,4,7
154,RIMBP2,RIMS binding protein 2 [Source:HGNC Symbol;Acc:HGNC:30339],None,1,1,1,1,1,0,0,3,2,5
155,RPS19,ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402],"['fibroblast growth factor binding', 'protein kinase binding', 'identical protein binding', 'structural constituent of ribosome', 'RNA binding']",1,0,0,1,1,0,1,1,3,4
156,PUM1,pumilio RNA binding family member 1 [Source:HGNC Symbol;Acc:HGNC:14957],"[""mRNA 3'-UTR binding"", 'protein binding', 'miRNA binding']",1,0,0,0,0,0,0,1,0,1
157,VAMP4,vesicle associated membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:12645],['protein binding'],1,0,1,1,0,0,0,2,1,3
158,UNC13B,unc-13 homolog B [Source:HGNC Symbol;Acc:HGNC:12566],"['calmodulin binding', 'phospholipid binding', 'calcium ion binding', 'GTP-dependent protein binding', 'syntaxin-1 binding', 'small GTPase binding', 'diacylglycerol binding']",1,0,1,1,0,1,1,2,3,5
159,ADRA2A,adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281],"['epinephrine binding', 'norepinephrine binding', 'alpha-1B adrenergic receptor binding', 'protein kinase binding', 'heterotrimeric G-protein binding', 'thioesterase binding', 'protein homodimerization activity', 'alpha2-adrenergic receptor activity', 'alpha-2C adrenergic receptor binding', 'protein heterodimerization activity']",1,0,1,1,0,1,0,2,2,4
160,STX16,syntaxin 16 [Source:HGNC Symbol;Acc:HGNC:11431],"['SNAP receptor activity', 'syntaxin binding']",1,1,1,1,0,0,0,3,1,4
161,RPS2,ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404],"['mRNA binding', 'fibroblast growth factor binding', 'cadherin binding', 'enzyme binding', 'structural constituent of ribosome']",1,1,0,1,1,1,1,2,4,6
162,SLITRK3,SLIT and NTRK like family member 3 [Source:HGNC Symbol;Acc:HGNC:23501],['protein binding'],1,0,0,0,0,0,0,1,0,1
163,RPL30,ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:10333],"['protein binding', 'RNA binding', 'structural constituent of ribosome']",1,1,0,1,1,1,1,2,4,6
164,SNAPIN,SNAP associated protein [Source:HGNC Symbol;Acc:HGNC:17145],['SNARE binding'],1,0,1,0,0,0,0,2,0,2
165,CANX,calnexin [Source:HGNC Symbol;Acc:HGNC:1473],"['calcium ion binding', 'apolipoprotein binding', 'carbohydrate binding', 'unfolded protein binding', 'RNA binding', 'ionotropic glutamate receptor binding']",1,1,1,1,1,1,1,3,4,7
166,SLC2A4,solute carrier family 2 member 4 [Source:HGNC Symbol;Acc:HGNC:11009],"['protein binding', 'D-glucose transmembrane transporter activity']",1,0,0,0,0,0,0,1,0,1
167,SORCS3,sortilin related VPS10 domain containing receptor 3 [Source:HGNC Symbol;Acc:HGNC:16699],"['protein binding', 'neuropeptide receptor activity']",1,0,0,0,0,0,0,1,0,1
168,KCNH1,potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250],"['calmodulin binding', 'delayed rectifier potassium channel activity', 'phosphatidylinositol bisphosphate binding']",1,0,0,0,0,0,0,1,0,1
169,SGTA,small glutamine rich tetratricopeptide repeat containing alpha [Source:HGNC Symbol;Acc:HGNC:10819],"['molecular adaptor activity', 'identical protein binding', 'BAT3 complex binding', 'protein self-association']",1,1,0,1,0,1,1,2,3,5
170,ALDOC,"aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]","['fructose-bisphosphate aldolase activity', 'cytoskeletal protein binding']",1,1,0,1,1,1,1,2,4,6
171,RPS23,ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410],"['protein binding', 'RNA binding', 'structural constituent of ribosome']",1,0,0,1,1,0,1,1,3,4
172,ADD1,adducin 1 [Source:HGNC Symbol;Acc:HGNC:243],"['calmodulin binding', 'transcription factor binding', 'spectrin binding', 'cadherin binding', 'protein homodimerization activity', 'actin filament binding', 'RNA binding', 'protein heterodimerization activity', 'structural constituent of cytoskeleton']",1,1,1,1,1,1,1,3,4,7
173,DLG1,discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900],"['ion channel binding', 'molecular adaptor activity', 'phosphoprotein phosphatase activity', 'structural constituent of postsynaptic density', 'mitogen-activated protein kinase kinase binding', 'cadherin binding', 'L27 domain binding', 'phosphatase binding', 'cytoskeletal protein binding', 'guanylate kinase activity', 'potassium channel regulator activity', 'protein C-terminus binding']",1,1,1,1,1,0,1,3,3,6
174,DAPK1,death associated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:2674],"['calmodulin binding', 'protein serine kinase activity', 'calmodulin-dependent protein kinase activity', 'identical protein binding', 'syntaxin-1 binding', 'ATP binding', 'protein threonine kinase activity', 'GTP binding']",1,0,1,0,0,1,1,2,2,4
175,CASKIN1,CASK interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20879],['identical protein binding'],1,1,1,1,1,1,1,3,4,7
176,PENK,proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831],"['opioid peptide activity', 'opioid receptor binding', 'neuropeptide hormone activity']",1,0,1,0,0,0,0,2,0,2
177,DOC2A,double C2 domain alpha [Source:HGNC Symbol;Acc:HGNC:2985],"['protein binding', 'calcium ion binding', 'calcium-dependent phospholipid binding']",1,1,1,1,0,0,0,3,1,4
178,ARHGEF2,Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682],"['transcription factor binding', 'zinc ion binding', 'small GTPase binding', 'microtubule binding', 'guanyl-nucleotide exchange factor activity']",1,1,0,1,1,1,1,2,4,6
179,ADD2,adducin 2 [Source:HGNC Symbol;Acc:HGNC:244],"['calmodulin binding', 'spectrin binding', 'protein kinase binding', 'protein homodimerization activity', 'actin filament binding', 'protein heterodimerization activity', 'structural constituent of cytoskeleton']",1,1,1,1,1,1,1,3,4,7
180,RAB1A,"RAB1A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9758]","['cadherin binding', 'GTP binding', 'GTPase activity']",1,1,1,1,0,0,1,3,2,5
181,NAPB,NSF attachment protein beta [Source:HGNC Symbol;Acc:HGNC:15751],"['soluble NSF attachment protein activity', 'syntaxin binding']",1,1,1,1,1,1,1,3,4,7
182,RPS6KC1,ribosomal protein S6 kinase C1 [Source:HGNC Symbol;Acc:HGNC:10439],"['protein serine kinase activity', 'protein binding', 'phosphatidylinositol binding', 'ATP binding', 'protein threonine kinase activity']",1,0,0,1,0,0,0,1,1,2
183,SLC6A9,solute carrier family 6 member 9 [Source:HGNC Symbol;Acc:HGNC:11056],['glycine:sodium symporter activity'],1,0,1,0,0,0,0,2,0,2
184,ATP2B3,ATPase plasma membrane Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:816],"['calmodulin binding', 'PDZ domain binding', 'ATP binding', 'metal ion binding', 'calcium-transporting ATPase activity involved in regulation of presynaptic cytosolic calcium ion concentration']",1,1,1,0,0,0,1,3,1,4
185,DVL3,dishevelled segment polarity protein 3 [Source:HGNC Symbol;Acc:HGNC:3087],"['small GTPase binding', 'frizzled binding', 'protease binding', 'beta-catenin binding']",1,0,0,0,0,0,1,1,1,2
186,ATP6AP1,ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868],"['small GTPase binding', 'ATP binding']",1,0,1,0,0,0,1,2,1,3
187,STX4,syntaxin 4 [Source:HGNC Symbol;Acc:HGNC:11439],"['sphingomyelin phosphodiesterase activator activity', 'SNARE binding', 'SNAP receptor activity']",1,1,1,0,0,0,1,3,1,4
188,ITGB1,integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153],"['protein tyrosine kinase binding', 'virus receptor activity', 'cadherin binding', 'collagen binding involved in cell-matrix adhesion', 'fibronectin binding', 'actin binding', 'integrin binding', 'coreceptor activity', 'metal ion binding', 'C-X3-C chemokine binding', 'protein heterodimerization activity', 'protease binding', 'laminin binding']",1,0,0,0,0,0,1,1,1,2
189,NGDN,neuroguidin [Source:HGNC Symbol;Acc:HGNC:20271],"['protein binding', 'RNA binding']",1,0,0,0,0,0,0,1,0,1
190,CYTH1,cytohesin 1 [Source:HGNC Symbol;Acc:HGNC:9501],"['protein binding', 'guanyl-nucleotide exchange factor activity', 'lipid binding']",1,0,0,1,0,0,1,1,2,3
191,RPLP2,ribosomal protein lateral stalk subunit P2 [Source:HGNC Symbol;Acc:HGNC:10377],"['protein binding', 'structural constituent of ribosome']",1,0,0,1,1,1,0,1,3,4
192,PPP2R1B,protein phosphatase 2 scaffold subunit Abeta [Source:HGNC Symbol;Acc:HGNC:9303],"['protein serine/threonine phosphatase activity', 'protein binding', 'protein phosphatase regulator activity']",1,0,0,1,1,0,1,1,3,4
193,PABPC1,poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554],"[""mRNA 3'-UTR binding"", 'poly(A) binding', 'translation activator activity', 'poly(U) RNA binding', 'protein C-terminus binding']",1,1,0,1,1,1,1,2,4,6
194,ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B [Source:HGNC Symbol;Acc:HGNC:24600],['ephrin receptor binding'],1,1,0,1,1,1,0,2,3,5
195,SNX1,sorting nexin 1 [Source:HGNC Symbol;Acc:HGNC:11172],"['epidermal growth factor receptor binding', 'leptin receptor binding', 'cadherin binding', 'phosphatidylinositol binding', 'insulin receptor binding', 'protein homodimerization activity', 'protein heterodimerization activity', 'transferrin receptor binding']",1,1,0,1,0,0,1,2,2,4
196,RPL7A,ribosomal protein L7a [Source:HGNC Symbol;Acc:HGNC:10364],"['RNA binding', 'cadherin binding', 'structural constituent of ribosome']",1,1,0,1,1,1,1,2,4,6
197,TPD52,tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005],"['protein homodimerization activity', 'calcium ion binding']",1,0,0,1,0,0,1,1,2,3
198,DLGAP1,DLG associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2905],"['protein binding', 'protein-containing complex binding', 'molecular adaptor activity']",1,1,1,1,1,1,0,3,3,6
199,VCP,valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666],"['BAT3 complex binding', 'lipid binding', 'ADP binding', 'ubiquitin protein ligase binding', 'protein domain specific binding', 'K48-linked polyubiquitin modification-dependent protein binding', 'identical protein binding', 'deubiquitinase activator activity', 'ATP binding', 'RNA binding', 'MHC class I protein binding', 'ATPase activity', 'ubiquitin-specific protease binding', 'protein phosphatase binding']",1,1,1,1,1,1,1,3,4,7
200,KALRN,kalirin RhoGEF kinase [Source:HGNC Symbol;Acc:HGNC:4814],"['protein serine kinase activity', 'metal ion binding', 'protein threonine kinase activity', 'ATP binding', 'guanyl-nucleotide exchange factor activity']",1,1,0,1,1,1,1,2,4,6
201,PAK2,p21 (RAC1) activated kinase 2 [Source:HGNC Symbol;Acc:HGNC:8591],"['protein serine kinase activity', 'protein tyrosine kinase activator activity', 'cadherin binding', 'protein kinase binding', 'identical protein binding', 'ATP binding', 'protein threonine kinase activity', 'small GTPase binding']",1,0,0,0,0,1,1,1,2,3
202,RGS7,regulator of G protein signaling 7 [Source:HGNC Symbol;Acc:HGNC:10003],"['GTPase activator activity', 'G-protein beta-subunit binding', 'GTPase activity']",1,1,1,1,0,0,1,3,2,5
203,CSNK2B,casein kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:2460],"['transcription factor binding', 'protein domain specific binding', 'protein serine/threonine kinase activity', 'identical protein binding', 'protein kinase regulator activity', 'metal ion binding', 'ribonucleoprotein complex binding', 'chromatin binding', 'signaling receptor binding']",1,1,1,1,0,1,1,3,3,6
204,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]","['ion channel binding', 'estrogen receptor binding', 'cadherin binding', 'protein kinase C binding', 'ephrin receptor binding', 'ATP binding', 'protein C-terminus binding', 'growth factor receptor binding', 'BMP receptor binding', 'non-membrane spanning protein tyrosine kinase activity', 'insulin receptor binding', 'phosphoprotein binding', 'connexin binding', 'SH2 domain binding', 'ubiquitin protein ligase binding', 'heme binding', 'scaffold protein binding', 'integrin binding', 'ATPase binding']",1,1,0,1,0,1,1,2,3,5
205,ARHGAP44,Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096],"['GTPase activator activity', 'small GTPase binding', 'phospholipid binding']",1,0,0,1,1,0,0,1,2,3
206,CNTNAP4,contactin associated protein family member 4 [Source:HGNC Symbol;Acc:HGNC:18747],None,1,0,0,0,0,0,0,1,0,1
207,CPEB1,cytoplasmic polyadenylation element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21744],"[""mRNA 3'-UTR AU-rich region binding"", 'protein binding', 'ribosome binding', 'translation factor activity, RNA binding', 'metal ion binding', 'translation repressor activity, mRNA regulatory element binding']",1,0,0,0,0,0,0,1,0,1
208,IL1RAPL1,interleukin 1 receptor accessory protein like 1 [Source:HGNC Symbol;Acc:HGNC:5996],"['NAD+ nucleotidase, cyclic ADP-ribose generating', 'NAD(P)+ nucleosidase activity', 'signaling receptor binding']",1,0,0,0,0,0,0,1,0,1
209,PTPRN2,protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677],['transmembrane receptor protein tyrosine phosphatase activity'],1,0,1,0,0,0,0,2,0,2
210,VCAN,versican [Source:HGNC Symbol;Acc:HGNC:2464],"['hyaluronic acid binding', 'calcium ion binding', 'protein binding', 'extracellular matrix structural constituent conferring compression resistance', 'carbohydrate binding']",1,1,0,1,1,1,1,2,4,6
211,CAMK4,calcium/calmodulin dependent protein kinase IV [Source:HGNC Symbol;Acc:HGNC:1464],"['calmodulin binding', 'calcium-dependent protein serine/threonine kinase activity', 'calmodulin-dependent protein kinase activity', 'ATP binding']",1,0,1,1,1,0,1,2,3,5
212,NPTN,neuroplastin [Source:HGNC Symbol;Acc:HGNC:17867],"['ion channel binding', 'cell-cell adhesion mediator activity', 'type 1 fibroblast growth factor receptor binding']",1,1,1,1,1,1,1,3,4,7
213,CTNND1,catenin delta 1 [Source:HGNC Symbol;Acc:HGNC:2515],"['cadherin binding', 'protein kinase binding', 'signaling receptor binding']",1,1,1,1,1,1,1,3,4,7
214,ACTC1,actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143],"['ATPase activity', 'ATP binding', 'myosin binding']",1,0,0,0,0,1,1,1,2,3
215,PAK3,p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592],"['SH3 domain binding', 'protein serine kinase activity', 'ATP binding', 'metal ion binding', 'protein threonine kinase activity', 'small GTPase binding', 'MAP kinase kinase activity']",1,0,0,1,0,1,1,1,3,4
216,MAGI3,"membrane associated guanylate kinase, WW and PDZ domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29647]","['guanylate kinase activity', 'protein binding', 'molecular adaptor activity', 'ATP binding']",1,0,0,1,0,0,0,1,1,2
217,RGS14,regulator of G protein signaling 14 [Source:HGNC Symbol;Acc:HGNC:9996],"['G-protein alpha-subunit binding', 'GTPase activator activity', 'protein kinase binding', 'GDP-dissociation inhibitor activity', 'GTPase activating protein binding', 'GTPase activity', 'signaling receptor complex adaptor activity', 'microtubule binding']",1,0,0,1,1,0,0,1,2,3
218,STXBP3,syntaxin binding protein 3 [Source:HGNC Symbol;Acc:HGNC:11446],"['protein-containing complex binding', 'syntaxin-1 binding']",1,1,1,0,0,0,1,3,1,4
219,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588],"['protein binding', 'glutamate-gated calcium ion channel activity', 'NMDA glutamate receptor activity']",1,0,1,0,0,0,0,2,0,2
220,SH3GLB2,"SH3 domain containing GRB2 like, endophilin B2 [Source:HGNC Symbol;Acc:HGNC:10834]","['cadherin binding', 'identical protein binding']",1,1,1,1,1,0,1,3,3,6
221,LIN7A,"lin-7 homolog A, crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:17787]",['L27 domain binding'],1,1,1,1,0,0,1,3,2,5
222,RPL18,ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310],"['protein binding', 'RNA binding', 'structural constituent of ribosome']",1,0,0,1,1,1,1,1,4,5
223,CNR1,cannabinoid receptor 1 [Source:HGNC Symbol;Acc:HGNC:2159],"['identical protein binding', 'cannabinoid receptor activity', 'drug binding']",1,0,1,0,0,0,1,2,1,3
224,RAB8A,"RAB8A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:7007]","['myosin V binding', 'protein kinase binding', 'GDP binding', 'GTPase activity', 'small GTPase binding', 'GTP binding']",1,0,1,1,0,0,1,2,2,4
