,genes,Synonym,avg_scores,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum,SynSig,Synapse_Status,Synapse Percentile,training positive examples,name,Receptor_Channel,Kinase_Phosphatase,Ubiquitin_E3,Vesicle_Transporters,GTP_ATP Regulators,Nucleic Acid Binding,Translation,Membrane_Cell Adhesion,Other Regulators,Scaffolds_Adaptors,Cytoskeletal,Calcium Ion Binding,Other Enzymes,Other protein binders,unknown functions,Function Total,MF Terms,HGNC Accession
305,AK8,"['FLJ32704', 'C9orf98']",3.7682319514866762,0,0,0,0,0,0,0,0,0,0,no,no,13.998812821527505,no,adenylate kinase 8 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['nucleoside diphosphate kinase activity', 'protein binding', 'cytidylate kinase activity', 'adenylate kinase activity', 'ATP binding']",HGNC:26526
306,AK9,"['FLJ25791', 'C6orf199', 'dJ70A9.1', 'AKD1', 'FLJ42177', 'C6orf224', 'AKD2', 'MGC26954']",3.958307552748592,0,0,0,0,0,0,0,0,0,0,no,no,37.7621685793431,no,adenylate kinase 9 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['adenylate kinase activity', 'nucleoside diphosphate kinase activity', 'ATP binding']",HGNC:33814
307,AKAP1,"['AKAP149', 'AKAP121', 'PPP1R43', 'D-AKAP1', 'SAKAP84', 'S-AKAP84', 'TDRD17', 'PRKA1', 'AKAP84']",Training Gene,1,0,0,0,1,0,1,1,2,3,yes,known,Training Gene,yes,A-kinase anchoring protein 1 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['protein kinase A regulatory subunit binding', 'RNA binding']",HGNC:367
308,AKAP10,"['D-AKAP2', 'MGC9414', 'PRKA10']",3.976180865711476,0,0,0,1,1,0,1,0,3,3,no,no,40.56193114364859,no,A-kinase anchoring protein 10 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['protein kinase A binding'],HGNC:368
309,AKAP12,"['AKAP250', 'SSeCKS']",Training Gene,0,1,0,0,1,1,1,1,3,4,yes,known,Training Gene,no,A-kinase anchoring protein 12 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['adenylate cyclase binding', 'protein kinase A binding', 'calmodulin binding']",HGNC:370
310,AKAP13,"['ARHGEF13', 'HA-3', 'PROTO-LB', 'AKAP-Lbc', 'LBC', 'c-lbc', 'Ht31', 'BRX']",4.6037913639969785,0,0,0,0,0,0,0,0,0,0,yes,new,93.796992481203,no,A-kinase anchoring protein 13 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['metal ion binding', 'guanyl-nucleotide exchange factor activity', 'MAP-kinase scaffold activity', 'protein kinase A binding', 'small GTPase binding', 'cAMP-dependent protein kinase activity']",HGNC:371
311,AKAP3,"['AKAP110', 'FSP95', 'SOB1', 'CT82']",3.655239585450405,0,0,0,0,0,0,0,0,0,0,no,no,6.153541749109617,no,A-kinase anchoring protein 3 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['protein kinase A binding'],HGNC:373
312,AKAP4,"['HI', 'CT99', 'hAKAP82', 'p82', 'Fsc1', 'AKAP82']",3.7002409620710712,0,0,0,0,0,0,1,0,1,1,no,no,8.636723387415909,no,A-kinase anchoring protein 4 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['protein kinase A binding'],HGNC:374
313,AKAP5,"['AKAP75', 'AKAP79']",4.296096655920406,1,1,0,1,1,0,0,2,2,4,no,known,78.05698456667986,yes,A-kinase anchoring protein 5 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['SH3 domain binding', 'glutamate receptor binding', 'adenylate cyclase binding', 'calmodulin binding', 'molecular adaptor activity', 'scaffold protein binding', 'GABA receptor binding', 'beta-2 adrenergic receptor binding', 'protein phosphatase 2B binding', 'protein kinase A regulatory subunit binding']",HGNC:375
314,AKAP6,"['KIAA0311', 'mAKAP', 'PRKA6', 'AKAP100', 'ADAP6']",4.212085610821591,0,0,0,0,0,0,0,0,0,0,no,no,70.81519588444796,no,A-kinase anchoring protein 6 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['adenylate cyclase binding', 'protein kinase A regulatory subunit binding', 'ion channel binding', 'protein-membrane adaptor activity']",HGNC:376
315,AKAP7,"['AKAP18', 'AKAP15']",3.8845523158000685,0,0,0,0,0,0,0,0,0,0,no,no,27.19628017411951,no,A-kinase anchoring protein 7 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['protein kinase A regulatory subunit binding', 'protein kinase binding', 'nucleotide binding']",HGNC:377
316,AKAP8,"['AKAP95', 'DKFZp586B1222']",4.059019146069638,0,0,0,0,0,0,0,0,0,0,no,no,52.17649386624456,no,A-kinase anchoring protein 8 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['NF-kappaB binding', 'zinc ion binding', 'RNA binding', 'histone deacetylase binding', 'protein kinase A regulatory subunit binding', 'double-stranded DNA binding']",HGNC:378
317,AKAP8L,"['NAKAP95', 'HAP95']",4.3379815391028265,0,0,0,0,0,0,1,0,1,1,no,no,81.0842896715473,no,A-kinase anchoring protein 8 like ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['RNA binding', 'metal ion binding', 'lamin binding', 'histone deacetylase binding', 'protein kinase A regulatory subunit binding', 'DEAD/H-box RNA helicase binding', 'DNA binding']",HGNC:29857
318,AKAP9,"['LQT11', 'KIAA0803', 'PPP1R45', 'CG-NAP', 'AKAP350', 'HYPERION', 'MU-RMS-40.16A', 'PRKA9', 'AKAP450', 'YOTIAO']",4.288211359240932,1,1,0,1,0,1,1,2,3,5,no,known,77.33478432924416,yes,A-kinase anchoring protein 9 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['signaling receptor binding', 'potassium channel regulator activity', 'ion channel binding', 'molecular adaptor activity', 'protein kinase A regulatory subunit binding', 'DNA binding']",HGNC:379
319,AKNA,['KIAA1968'],3.729871489509871,0,0,0,0,0,0,0,0,0,0,no,no,10.753858330035618,no,AT-hook transcription factor ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['DNA binding', 'protein binding']",HGNC:24108
320,AKR1A1,"['DD3', 'ALR']",Training Gene,1,1,0,0,0,1,1,2,2,4,yes,known,Training Gene,yes,aldo-keto reductase family 1 member A1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['alditol:NADP+ 1-oxidoreductase activity', 'protein binding', 'allyl-alcohol dehydrogenase activity', 'glucuronolactone reductase activity', 'electron transfer activity', 'L-glucuronate reductase activity']",HGNC:380
321,AKR1B1,"['AR', 'ALDR1']",4.239434135666541,0,0,0,0,1,0,1,0,2,2,no,no,73.41709537000396,no,aldo-keto reductase family 1 member B ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['NADP-retinol dehydrogenase activity', 'alditol:NADP+ 1-oxidoreductase activity', 'protein binding', 'allyl-alcohol dehydrogenase activity', 'retinal dehydrogenase activity', 'electron transfer activity', 'glyceraldehyde oxidoreductase activity']",HGNC:381
322,AKR1B10,"['ARL1', 'ARL-1', 'ALDRLn', 'HIS', 'HSI', 'AKR1B12', 'AKR1B11']",3.6331600561977457,0,0,0,0,0,0,0,0,0,0,no,no,5.233478432924416,no,aldo-keto reductase family 1 member B10 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['NADP-retinol dehydrogenase activity', 'alditol:NADP+ 1-oxidoreductase activity', 'indanol dehydrogenase activity', 'protein binding', 'allyl-alcohol dehydrogenase activity', 'retinal dehydrogenase activity', 'geranylgeranyl reductase activity']",HGNC:382
323,AKR1C1,"['DD1', 'DDH', 'HAKRC', 'DDH1', 'MBAB']",3.883278233654549,0,1,0,0,0,0,1,1,1,2,no,known,26.97863078749505,no,aldo-keto reductase family 1 member C1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"['17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity', 'bile acid binding', 'alditol:NADP+ 1-oxidoreductase activity', 'ketosteroid monooxygenase activity', 'protein binding', 'indanol dehydrogenase activity', 'oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor', 'trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity', 'phenanthrene 9,10-monooxygenase activity', 'androsterone dehydrogenase (B-specific) activity']",HGNC:384
324,AKR1C2,"['DD', 'BABP', 'DDH2', 'DD2', 'MCDR2', 'TDD', 'HAKRD']",3.792418485392669,0,1,0,0,0,0,1,1,1,2,no,known,16.086268302334787,no,aldo-keto reductase family 1 member C2 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"['bile acid binding', 'alditol:NADP+ 1-oxidoreductase activity', 'ketosteroid monooxygenase activity', 'oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor', 'trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity', 'phenanthrene 9,10-monooxygenase activity', 'androsterone dehydrogenase activity']",HGNC:385
325,AKR1C3,"['HSD17B5', 'KIAA0119', 'DDX', 'PGFS', 'HAKRB']",3.850679702176112,0,0,0,0,0,0,0,0,0,0,no,no,22.44756628413138,no,aldo-keto reductase family 1 member C3 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"['testosterone 17-beta-dehydrogenase (NADP+) activity', 'NADP-retinol dehydrogenase activity', 'dihydrotestosterone 17-beta-dehydrogenase activity', 'phenanthrene 9,10-monooxygenase activity', 'indanol dehydrogenase activity', 'delta4-3-oxosteroid 5beta-reductase activity', 'oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor', 'trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity', 'geranylgeranyl reductase activity', 'prostaglandin D2 11-ketoreductase activity', 'bile acid binding', 'ketosteroid monooxygenase activity', 'prostaglandin H2 endoperoxidase reductase activity', 'retinal dehydrogenase activity', 'retinol dehydrogenase activity', 'alditol:NADP+ 1-oxidoreductase activity', 'testosterone dehydrogenase (NAD+) activity', 'ketoreductase activity', '15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity', 'prostaglandin-F synthase activity', 'androsterone dehydrogenase activity']",HGNC:386
326,AKR1C4,"['HAKRA', 'CHDR', '3-alpha-HSD', 'C11', 'MGC22581', 'DD4', 'CDR']",3.5932992951078786,0,0,0,0,0,0,0,0,0,0,no,no,4.135338345864661,no,aldo-keto reductase family 1 member C4 ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,"['chlordecone reductase activity', 'bile acid binding', 'alditol:NADP+ 1-oxidoreductase activity', 'ketosteroid monooxygenase activity', 'retinal dehydrogenase activity', 'oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor', 'bile acid transmembrane transporter activity', 'electron transfer activity', 'androsterone dehydrogenase activity']",HGNC:387
327,AKR1D1,['SRD5B1'],3.7117545357872523,0,0,0,0,0,0,0,0,0,0,no,no,9.378709932726553,no,aldo-keto reductase family 1 member D1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['alditol:NADP+ 1-oxidoreductase activity', 'ketosteroid monooxygenase activity', 'delta4-3-oxosteroid 5beta-reductase activity', 'steroid binding', 'steroid dehydrogenase activity']",HGNC:388
328,AKR7A2,['AFAR'],4.2654748624440835,0,1,0,0,1,0,1,1,2,3,no,known,75.36604669568659,no,aldo-keto reductase family 7 member A2 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['electron transfer activity', 'alditol:NADP+ 1-oxidoreductase activity', 'phenanthrene-9,10-epoxide hydrolase activity', 'protein binding']",HGNC:389
329,AKR7A3,[nan],3.9000697183427344,0,0,0,0,0,0,0,0,0,0,no,no,29.57063711911357,no,aldo-keto reductase family 7 member A3 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['electron transfer activity', 'aldo-keto reductase (NADP) activity', 'identical protein binding']",HGNC:390
330,AKT1,"['PRKBA', 'AKT', 'PKB', 'RAC', 'RAC-alpha']",4.944158146877012,0,1,0,0,0,0,1,1,1,2,yes,known,99.05025722200236,no,AKT serine/threonine kinase 1 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['protein threonine kinase activity', '14-3-3 protein binding', 'GTPase activating protein binding', 'protein kinase C binding', 'protein serine/threonine/tyrosine kinase activity', 'calmodulin binding', 'protein phosphatase 2A binding', 'nitric-oxide synthase regulator activity', 'protein homodimerization activity', 'phosphatidylinositol-3,4,5-trisphosphate binding', 'protein serine kinase activity', 'phosphatidylinositol-3,4-bisphosphate binding', 'ATP binding']",HGNC:391
331,AKT1S1,"['PRAS40', 'Lobe', 'MGC2865']",4.0541513501262525,0,0,0,1,1,0,0,0,2,2,no,no,51.553225168183616,no,AKT1 substrate 1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['protein binding'],HGNC:28426
332,AKT2,['PKBÃŽÂ²'],4.546513836090562,0,0,0,0,0,0,0,0,0,0,yes,new,91.66007123070835,no,AKT serine/threonine kinase 2 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['metal ion binding', 'protein binding', 'protein threonine kinase activity', 'protein serine kinase activity', 'ATP binding']",HGNC:392
333,AKT3,"['PKBG', 'RAC-gamma', 'PRKBG']",4.29929609302085,0,0,0,0,0,0,0,0,0,0,no,no,78.27463395330432,no,AKT serine/threonine kinase 3 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['protein threonine kinase activity', 'protein serine kinase activity', 'ATP binding', 'protein binding']",HGNC:393
334,AKTIP,"['FLJ13258', 'FTS']",4.219518641921463,0,0,0,0,0,0,0,0,0,0,no,no,71.37910565888406,no,AKT interacting protein ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"['ubiquitin conjugating enzyme activity', 'protein binding']",HGNC:16710
335,ALAD,"['PBGS', 'ALADH']",3.9929991443139214,0,0,0,0,0,0,0,0,0,0,no,no,42.57024139295608,no,aminolevulinate dehydratase ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['identical protein binding', 'zinc ion binding', 'proteasome core complex binding', 'porphobilinogen synthase activity']",HGNC:395
336,ALAS1,"['ALAS3', 'ALAS']",4.26114339299684,0,0,0,0,0,0,0,0,0,0,no,no,75.00989315393747,no,5'-aminolevulinate synthase 1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['identical protein binding', '5-aminolevulinate synthase activity', 'pyridoxal phosphate binding']",HGNC:396
337,ALAS2,['ASB'],3.737901138369233,0,0,0,0,0,0,0,0,0,0,no,no,11.515631183221213,no,5'-aminolevulinate synthase 2 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['5-aminolevulinate synthase activity', 'pyridoxal phosphate binding', 'protein binding']",HGNC:397
338,ALB,[nan],4.369243766068794,0,0,0,0,0,1,1,0,2,2,no,no,83.20142461416701,no,albumin ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,"['copper ion binding', 'toxic substance binding', 'zinc ion binding', 'enterobactin binding', 'fatty acid binding', 'exogenous protein binding', 'chaperone binding', 'oxygen binding', 'identical protein binding', 'antioxidant activity', 'DNA binding', 'pyridoxal phosphate binding']",HGNC:399
339,ALCAM,"['CD166', 'MEMD']",4.2376934699760085,0,1,1,0,0,0,1,2,1,3,no,known,73.23901859912941,no,activated leukocyte cell adhesion molecule ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['signaling receptor binding', 'identical protein binding']",HGNC:400
340,ALDH18A1,"['GSAS', 'PYCS', 'P5CS', 'SPG9']",4.12520231967796,0,0,0,1,1,0,1,0,3,3,no,no,61.68381480015829,no,aldehyde dehydrogenase 18 family member A1 ,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,"['glutamate-5-semialdehyde dehydrogenase activity', 'RNA binding', 'glutamate 5-kinase activity', 'identical protein binding', 'ATP binding']",HGNC:9722
341,ALDH1A1,"['RALDH1', 'ALDH1', 'PUMB1']",3.9008632758768345,0,1,0,0,0,0,1,1,1,2,no,known,29.689354966363272,no,aldehyde dehydrogenase 1 family member A1 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['NAD binding', 'GTPase activator activity', 'protein binding', 'retinal dehydrogenase activity', 'androgen binding', 'benzaldehyde dehydrogenase (NAD+) activity']",HGNC:402
342,ALDH1A2,['RALDH2'],4.092404940802898,0,0,0,0,0,0,0,0,0,0,no,no,57.063711911357345,no,aldehyde dehydrogenase 1 family member A2 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['aldehyde dehydrogenase (NAD+) activity', 'retinal dehydrogenase activity', 'retinal binding', '3-chloroallyl aldehyde dehydrogenase activity']",HGNC:15472
343,ALDH1A3,"['RALDH3', 'ALDH6']",3.832294914105353,0,0,0,0,0,0,0,0,0,0,no,no,20.132568262762174,no,aldehyde dehydrogenase 1 family member A3 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['aldehyde dehydrogenase (NAD+) activity', 'NAD+ binding', 'thyroid hormone binding', 'retinal dehydrogenase activity', 'protein homodimerization activity']",HGNC:409
344,ALDH1B1,"['ALDHX', 'ALDH5']",4.046697729587547,0,0,0,1,1,0,1,0,3,3,no,no,50.35615354174911,no,,,,,,,,,,,,,,,,,,,
345,ALDH1L1,"['FTHFD', 'FDH', '10-fTHF']",3.7880425165168483,0,1,0,1,0,0,0,1,1,2,no,known,15.6410763751484,no,aldehyde dehydrogenase 1 family member L1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['aldehyde dehydrogenase (NAD+) activity', 'formyltetrahydrofolate dehydrogenase activity', 'hydroxymethyl-, formyl- and related transferase activity']",HGNC:3978
346,ALDH1L2,"['mtFDH', 'FLJ38508']",3.9158915250304447,0,0,0,1,0,0,1,0,2,2,no,no,31.90542144835773,no,aldehyde dehydrogenase 1 family member L2 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['aldehyde dehydrogenase (NAD+) activity', 'formyltetrahydrofolate dehydrogenase activity', 'hydroxymethyl-, formyl- and related transferase activity', 'protein binding']",HGNC:26777
347,ALDH2,[nan],4.382985713533895,0,1,0,1,0,1,1,1,3,4,no,known,83.94341115947765,no,,,,,,,,,,,,,,,,,,,
348,ALDH3A1,['ALDH3'],3.872996627799447,0,0,0,0,0,0,0,0,0,0,no,no,25.484764542936286,no,aldehyde dehydrogenase 3 family member A1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['benzaldehyde dehydrogenase (NAD+) activity', 'protein binding', 'alcohol dehydrogenase (NADP+) activity', '3-chloroallyl aldehyde dehydrogenase activity']",HGNC:405
349,ALDH3A2,"['ALDH10', 'FALDH', 'SLS']",4.319173107859487,0,1,0,1,0,1,1,1,3,4,no,known,79.6794618124258,no,aldehyde dehydrogenase 3 family member A2 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['long-chain-alcohol oxidase activity', '3-chloroallyl aldehyde dehydrogenase activity', 'long-chain-aldehyde dehydrogenase activity', 'protein homodimerization activity', 'glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity', 'medium-chain-aldehyde dehydrogenase activity']",HGNC:403
350,ALDH3B1,['ALDH7'],4.070388877896429,0,0,0,0,0,0,0,0,0,0,no,no,54.02651365255243,no,aldehyde dehydrogenase 3 family member B1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['benzaldehyde dehydrogenase (NAD+) activity', 'protein binding', 'benzaldehyde dehydrogenase (NADP+) activity', '3-chloroallyl aldehyde dehydrogenase activity']",HGNC:410
351,ALDH4A1,"['P5CDh', 'ALDH4']",Training Gene,0,1,0,1,0,0,1,1,2,3,yes,known,Training Gene,no,aldehyde dehydrogenase 4 family member A1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['aldehyde dehydrogenase (NAD+) activity', 'electron transfer activity', '1-pyrroline-5-carboxylate dehydrogenase activity', 'identical protein binding']",HGNC:406
352,ALDH5A1,"['SSADH', 'SSDH']",4.204831620728272,0,1,0,1,1,1,1,1,4,5,no,known,70.2018203403245,no,aldehyde dehydrogenase 5 family member A1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['succinate-semialdehyde dehydrogenase (NAD+) activity', 'identical protein binding']",HGNC:408
353,ALDH6A1,['MMSDH'],3.9103484482726096,0,1,0,0,0,0,0,1,0,1,no,known,31.183221210922042,no,aldehyde dehydrogenase 6 family member A1 ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['malonate-semialdehyde dehydrogenase (acetylating) activity', 'methylmalonate-semialdehyde dehydrogenase (acylating) activity', 'RNA binding', 'fatty-acyl-CoA binding']",HGNC:7179
354,ALDH7A1,"['ATQ1', 'PDE', 'EPD']",4.143440888770368,0,1,0,0,0,1,1,1,2,3,no,known,63.79105658884053,no,aldehyde dehydrogenase 7 family member A1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity', 'L-aminoadipate-semialdehyde dehydrogenase activity', 'betaine-aldehyde dehydrogenase activity', 'protein binding']",HGNC:877
355,ALDH8A1,['ALDH12'],3.7819141026031744,0,0,0,0,0,0,0,0,0,0,no,no,15.047487138899882,no,aldehyde dehydrogenase 8 family member A1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['retinal dehydrogenase activity', 'aminomuconate-semialdehyde dehydrogenase activity']",HGNC:15471
356,ALDH9A1,"['E3', 'ALDH7', 'ALDH9', 'ALDH4']",3.943469053912149,0,0,0,0,0,0,1,0,1,1,no,no,35.80332409972299,no,aldehyde dehydrogenase 9 family member A1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['aminobutyraldehyde dehydrogenase activity', '1-pyrroline dehydrogenase activity', '4-trimethylammoniobutyraldehyde dehydrogenase activity', 'glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity']",HGNC:412
357,ALDOA,[nan],4.7870193788680595,0,1,0,1,1,1,1,1,4,5,yes,known,97.40799366838148,no,"aldolase, fructose-bisphosphate A ",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,"['cadherin binding', 'fructose binding', 'RNA binding', 'tubulin binding', 'actin binding', 'identical protein binding', 'fructose-bisphosphate aldolase activity']",HGNC:414
358,ALDOB,[nan],3.9241126517073504,0,0,0,0,0,0,0,0,0,0,no,no,32.84527107241789,no,"aldolase, fructose-bisphosphate B ",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,"['fructose binding', 'cytoskeletal protein binding', 'fructose-1-phosphate aldolase activity', 'identical protein binding', 'ATPase binding', 'fructose-bisphosphate aldolase activity']",HGNC:417
359,ALDOC,[nan],Training Gene,1,1,0,1,1,1,1,2,4,6,yes,known,Training Gene,yes,"aldolase, fructose-bisphosphate C ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"['fructose-bisphosphate aldolase activity', 'cytoskeletal protein binding']",HGNC:418
360,ALG1,"['Mat-1', 'HMT-1', 'CDG1K', 'HMAT1']",4.048535720287385,0,0,0,0,0,0,0,0,0,0,no,no,50.67273446774832,no,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,['chitobiosyldiphosphodolichol beta-mannosyltransferase activity'],HGNC:18294
361,ALG10,"['ALG10A', 'FLJ14751', 'DIE2']",3.698316489068076,0,0,0,0,0,0,0,0,0,0,no,no,8.458646616541353,no,"ALG10 alpha-1,2-glucosyltransferase ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity', 'protein binding']",HGNC:23162
