Gene Symbol,Accession,Description,SumCoverage,SumNum Proteins,SumNum Unique Peptides,SumNum Peptides,SumNum PSMs,Score A2,Coverage A2,Num Peptides A2,Num PSM A2,Score A4,Coverage A4,Num Peptides A4,Num PSM A4,Num AAs,MW kDa,calc pI,,,,,,,,
NFASC,H7BY57,Neurofascin (Fragment) OS=Homo sapiens GN=NFASC PE=4 SV=1 - [H7BY57_HUMAN],19.21,23.0,16.0,16.0,43.0,408.17,19.21,16.0,21.0,59.01,18.25,15.0,22.0,1041.0,116.6,6.3,,,,,,,,
KPNA2,P52292,Importin subunit alpha-2 OS=Homo sapiens GN=KPNA2 PE=1 SV=1 - [IMA2_HUMAN],18.9,4.0,8.0,8.0,43.0,448.07,18.9,8.0,21.0,60.54,18.9,8.0,22.0,529.0,57.8,5.4,,,,,,,,
CAMSAP1,Q5T5Y3,Calmodulin-regulated spectrin-associated protein 1 OS=Homo sapiens GN=CAMSAP1 PE=1 SV=2 - [CAMP1_HUMAN],16.73,3.0,15.0,15.0,43.0,399.33,15.92,14.0,22.0,62.43,13.86,13.0,21.0,1602.0,177.9,6.73,,,,,,,,
PTPN23,Q9H3S7,Tyrosine-protein phosphatase non-receptor type 23 OS=Homo sapiens GN=PTPN23 PE=1 SV=1 - [PTN23_HUMAN],14.98,4.0,15.0,15.0,43.0,292.11,14.24,14.0,21.0,46.3,14.49,14.0,22.0,1636.0,178.9,6.92,,,,,,,,
KIAA1468,Q9P260-2,Isoform 2 of LisH domain and HEAT repeat-containing protein KIAA1468 OS=Homo sapiens GN=KIAA1468 - [K1468_HUMAN],14.64,1.0,2.0,14.0,43.0,484.4,13.68,13.0,21.0,40.46,14.64,14.0,22.0,1250.0,138.7,5.53,,,,,,,,
RAB6B,Q9NRW1,Ras-related protein Rab-6B OS=Homo sapiens GN=RAB6B PE=1 SV=1 - [RAB6B_HUMAN],47.6,33.0,5.0,11.0,42.0,233.15,38.46,8.0,20.0,53.04,47.6,11.0,22.0,208.0,23.4,5.53,,,,,,,,
CHCHD3,Q9NX63,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial OS=Homo sapiens GN=CHCHD3 PE=1 SV=1 - [CHCH3_HUMAN]",44.93,4.0,13.0,13.0,42.0,378.2,44.93,13.0,22.0,56.64,42.29,12.0,20.0,227.0,26.1,8.28,,,,,,,,
ACAT1,P24752,"Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens GN=ACAT1 PE=1 SV=1 - [THIL_HUMAN]",44.5,5.0,13.0,13.0,42.0,446.99,44.5,13.0,22.0,65.74,42.39,12.0,20.0,427.0,45.2,8.85,,,,,,,,
RAB3A,P20336,Ras-related protein Rab-3A OS=Homo sapiens GN=RAB3A PE=1 SV=1 - [RAB3A_HUMAN],41.36,5.0,2.0,10.0,42.0,356.89,41.36,10.0,21.0,52.99,41.36,10.0,21.0,220.0,25.0,5.03,,,,,,,,
PSMD4,P55036,26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens GN=PSMD4 PE=1 SV=1 - [PSMD4_HUMAN],38.99,7.0,11.0,11.0,42.0,588.68,38.99,11.0,21.0,72.56,38.99,11.0,21.0,377.0,40.7,4.79,,,,,,,,
PDIA6,B7Z254,Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=2 SV=1 - [B7Z254_HUMAN],35.93,5.0,12.0,12.0,42.0,606.35,33.41,11.0,21.0,56.84,35.93,11.0,21.0,437.0,47.8,5.08,,,,,,,,
GSK3A,P49840,Glycogen synthase kinase-3 alpha OS=Homo sapiens GN=GSK3A PE=1 SV=2 - [GSK3A_HUMAN],29.19,3.0,6.0,10.0,42.0,432.05,29.19,10.0,21.0,64.69,29.19,10.0,21.0,483.0,50.9,8.75,,,,,,,,
ACSL3,O95573,Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3 - [ACSL3_HUMAN],25.97,4.0,10.0,13.0,42.0,424.32,21.81,11.0,20.0,58.11,25.97,13.0,22.0,720.0,80.4,8.38,,,,,,,,
NEO1,Q92859-2,Isoform 2 of Neogenin OS=Homo sapiens GN=NEO1 - [NEO1_HUMAN],19.03,5.0,18.0,18.0,42.0,256.85,18.04,17.0,20.0,62.31,18.18,17.0,22.0,1408.0,154.2,6.37,,,,,,,,
EPHA5,P54756-2,Isoform 2 of Ephrin type-A receptor 5 OS=Homo sapiens GN=EPHA5 - [EPHA5_HUMAN],18.23,10.0,9.0,14.0,42.0,396.35,13.6,11.0,20.0,49.43,17.24,13.0,22.0,1015.0,112.6,7.01,,,,,,,,
OGT,O15294-3,Isoform 1 of UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Homo sapiens GN=OGT - [OGT1_HUMAN],17.95,6.0,14.0,14.0,42.0,353.82,17.95,14.0,21.0,50.55,17.76,13.0,21.0,1036.0,115.6,6.65,,,,,,,,
PCDHGB4,Q9UN71,Protocadherin gamma-B4 OS=Homo sapiens GN=PCDHGB4 PE=2 SV=1 - [PCDGG_HUMAN],17.01,19.0,8.0,11.0,42.0,361.96,16.25,10.0,19.0,43.35,17.01,11.0,23.0,923.0,99.9,4.93,,,,,,,,
MLLT4,P55196-5,Isoform 5 of Afadin OS=Homo sapiens GN=MLLT4 - [AFAD_HUMAN],13.63,16.0,15.0,15.0,42.0,412.73,12.6,14.0,21.0,49.78,13.63,14.0,21.0,1834.0,207.7,6.39,,,,,,,,
KIAA0196,Q12768,WASH complex subunit strumpellin OS=Homo sapiens GN=KIAA0196 PE=1 SV=1 - [STRUM_HUMAN],13.63,3.0,13.0,13.0,42.0,460.63,13.63,12.0,22.0,46.19,13.63,13.0,20.0,1159.0,134.2,6.98,,,,,,,,
ARHGAP21,Q5T5U3,Rho GTPase-activating protein 21 OS=Homo sapiens GN=ARHGAP21 PE=1 SV=1 - [RHG21_HUMAN],12.06,11.0,16.0,16.0,42.0,620.31,11.19,15.0,21.0,57.65,11.19,15.0,21.0,1957.0,217.2,7.8,,,,,,,,
SIPA1L2,Q9P2F8,Signal-induced proliferation-associated 1-like protein 2 OS=Homo sapiens GN=SIPA1L2 PE=1 SV=2 - [SI1L2_HUMAN],10.45,2.0,13.0,13.0,42.0,443.05,9.23,11.0,20.0,51.64,10.45,13.0,22.0,1722.0,190.3,6.77,,,,,,,,
KRT84,Q9NSB2,"Keratin, type II cuticular Hb4 OS=Homo sapiens GN=KRT84 PE=2 SV=2 - [KRT84_HUMAN]",5.0,11.0,1.0,6.0,42.0,236.62,5.0,6.0,21.0,40.83,5.0,6.0,21.0,600.0,64.8,7.56,,,,,,,,
SFXN1,Q9H9B4,Sideroflexin-1 OS=Homo sapiens GN=SFXN1 PE=1 SV=4 - [SFXN1_HUMAN],36.65,4.0,8.0,10.0,41.0,407.16,34.78,9.0,20.0,49.86,36.65,10.0,21.0,322.0,35.6,9.07,,,,,,,,
CDC42,P60953,Cell division control protein 42 homolog OS=Homo sapiens GN=CDC42 PE=1 SV=2 - [CDC42_HUMAN],35.6,11.0,3.0,8.0,41.0,338.85,35.6,8.0,21.0,45.31,35.6,8.0,20.0,191.0,21.2,6.55,,,,,,,,
GIT1,Q9Y2X7,ARF GTPase-activating protein GIT1 OS=Homo sapiens GN=GIT1 PE=1 SV=2 - [GIT1_HUMAN],24.84,8.0,10.0,12.0,41.0,630.77,22.86,11.0,20.0,62.83,24.84,12.0,21.0,761.0,84.3,6.8,,,,,,,,
PTPLAD1,Q9P035,Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase 3 OS=Homo sapiens GN=PTPLAD1 PE=1 SV=2 - [HACD3_HUMAN],24.03,6.0,12.0,12.0,41.0,192.51,20.72,11.0,21.0,46.35,24.03,12.0,20.0,362.0,43.1,8.94,,,,,,,,
PFKL,P17858,"6-phosphofructokinase, liver type OS=Homo sapiens GN=PFKL PE=1 SV=6 - [K6PL_HUMAN]",17.95,2.0,7.0,9.0,41.0,613.92,17.95,9.0,20.0,70.66,17.95,9.0,21.0,780.0,85.0,7.5,,,,,,,,
USP7,B7Z815,Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens GN=USP7 PE=2 SV=1 - [B7Z815_HUMAN],17.03,10.0,14.0,14.0,41.0,243.23,12.62,11.0,19.0,46.66,17.03,14.0,22.0,1086.0,126.2,5.71,,,,,,,,
BAG6,B0UX83,"HLA-B associated transcript 3, isoform CRA_a OS=Homo sapiens GN=BAG6 PE=4 SV=1 - [B0UX83_HUMAN]",15.54,18.0,11.0,11.0,41.0,352.57,15.54,11.0,21.0,58.43,15.54,11.0,20.0,1126.0,118.6,5.6,,,,,,,,
GAK,O14976,Cyclin-G-associated kinase OS=Homo sapiens GN=GAK PE=1 SV=2 - [GAK_HUMAN],13.42,8.0,14.0,14.0,41.0,338.79,10.91,10.0,18.0,49.16,13.42,14.0,23.0,1311.0,143.1,5.73,,,,,,,,
UNC13B,O14795,Protein unc-13 homolog B OS=Homo sapiens GN=UNC13B PE=1 SV=2 - [UN13B_HUMAN],10.37,12.0,13.0,13.0,41.0,191.72,9.05,12.0,20.0,43.44,10.37,13.0,21.0,1591.0,180.6,5.99,,,,,,,,
RPL5,P46777,60S ribosomal protein L5 OS=Homo sapiens GN=RPL5 PE=1 SV=3 - [RL5_HUMAN],46.8,3.0,10.0,10.0,40.0,357.07,40.74,9.0,20.0,54.16,46.46,9.0,20.0,297.0,34.3,9.72,,,,,,,,
STX1B,Q2VPS2,Syntaxin 1B alternative isoform deltaTM OS=Homo sapiens GN=STX1B PE=2 SV=1 - [Q2VPS2_HUMAN],41.16,3.0,10.0,10.0,40.0,517.61,41.16,10.0,20.0,54.63,41.16,10.0,20.0,277.0,31.8,5.24,,,,,,,,
NAP1L1,H0YHC3,Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens GN=NAP1L1 PE=2 SV=1 - [H0YHC3_HUMAN],34.85,18.0,6.0,8.0,40.0,374.7,34.85,8.0,20.0,56.35,34.85,8.0,20.0,198.0,23.4,4.81,,,,,,,,
MARCKS,P29966,Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens GN=MARCKS PE=1 SV=4 - [MARCS_HUMAN],34.04,1.0,8.0,8.0,40.0,566.69,34.04,8.0,20.0,66.93,34.04,8.0,20.0,332.0,31.5,4.45,,,,,,,,
PRKACA,P17612-2,Isoform 2 of cAMP-dependent protein kinase catalytic subunit alpha OS=Homo sapiens GN=PRKACA - [KAPCA_HUMAN],30.03,6.0,5.0,10.0,40.0,400.01,30.03,10.0,20.0,47.93,30.03,10.0,20.0,343.0,39.8,8.66,,,,,,,,
RPS5,M0R0F0,40S ribosomal protein S5 (Fragment) OS=Homo sapiens GN=RPS5 PE=3 SV=1 - [M0R0F0_HUMAN],30.0,4.0,10.0,10.0,40.0,283.75,30.0,10.0,22.0,37.48,30.0,9.0,18.0,200.0,22.4,9.55,,,,,,,,
GYS1,P13807-2,"Isoform 2 of Glycogen [starch] synthase, muscle OS=Homo sapiens GN=GYS1 - [GYS1_HUMAN]",23.48,6.0,13.0,13.0,40.0,455.03,17.83,10.0,18.0,56.9,23.48,13.0,22.0,673.0,76.4,6.54,,,,,,,,
PRDX4,Q13162,Peroxiredoxin-4 OS=Homo sapiens GN=PRDX4 PE=1 SV=1 - [PRDX4_HUMAN],23.25,3.0,3.0,6.0,40.0,328.58,23.25,6.0,20.0,48.78,23.25,6.0,20.0,271.0,30.5,6.29,,,,,,,,
EFR3B,Q9Y2G0,Protein EFR3 homolog B OS=Homo sapiens GN=EFR3B PE=1 SV=2 - [EFR3B_HUMAN],19.22,10.0,12.0,12.0,40.0,224.73,18.24,11.0,19.0,50.67,19.22,12.0,21.0,817.0,92.4,6.7,,,,,,,,
FXR2,P51116,Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens GN=FXR2 PE=1 SV=2 - [FXR2_HUMAN],19.17,3.0,8.0,11.0,40.0,292.08,17.38,10.0,21.0,43.48,17.24,10.0,19.0,673.0,74.2,6.23,,,,,,,,
RBM14,Q96PK6,RNA-binding protein 14 OS=Homo sapiens GN=RBM14 PE=1 SV=2 - [RBM14_HUMAN],18.54,7.0,7.0,9.0,40.0,490.58,18.54,9.0,20.0,60.21,18.54,9.0,20.0,669.0,69.4,9.67,,,,,,,,
MAPRE1,Q15691,Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens GN=MAPRE1 PE=1 SV=3 - [MARE1_HUMAN],47.76,1.0,8.0,9.0,39.0,500.94,47.76,8.0,17.0,61.07,47.76,9.0,22.0,268.0,30.0,5.14,,,,,,,,
RAB8B,H0YNE9,Ras-related protein Rab-8B (Fragment) OS=Homo sapiens GN=RAB8B PE=2 SV=1 - [H0YNE9_HUMAN],36.17,35.0,2.0,8.0,39.0,258.44,35.11,7.0,20.0,42.64,36.17,8.0,19.0,188.0,21.9,8.48,,,,,,,,
GPI,P06744,Glucose-6-phosphate isomerase OS=Homo sapiens GN=GPI PE=1 SV=4 - [G6PI_HUMAN],34.95,8.0,14.0,14.0,39.0,315.64,31.0,11.0,18.0,58.02,34.95,14.0,21.0,558.0,63.1,8.32,,,,,,,,
RALA,P11233,Ras-related protein Ral-A OS=Homo sapiens GN=RALA PE=1 SV=1 - [RALA_HUMAN],31.07,6.0,4.0,7.0,39.0,375.73,31.07,7.0,20.0,52.93,31.07,7.0,19.0,206.0,23.6,7.11,,,,,,,,
EEF1D,P29692-2,Isoform 2 of Elongation factor 1-delta OS=Homo sapiens GN=EEF1D - [EF1D_HUMAN],25.66,27.0,6.0,12.0,39.0,399.04,25.66,12.0,22.0,44.95,22.1,9.0,17.0,647.0,71.4,6.42,,,,,,,,
XPNPEP1,Q9NQW7-2,Isoform 2 of Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 - [XPP1_HUMAN],25.04,9.0,11.0,11.0,39.0,288.34,17.36,9.0,19.0,46.39,25.04,10.0,20.0,599.0,67.2,5.81,,,,,,,,
GPD2,P43304,"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Homo sapiens GN=GPD2 PE=1 SV=3 - [GPDM_HUMAN]",24.62,4.0,13.0,13.0,39.0,293.65,20.91,11.0,19.0,35.98,24.62,13.0,20.0,727.0,80.8,7.69,,,,,,,,
ARCN1,P48444,Coatomer subunit delta OS=Homo sapiens GN=ARCN1 PE=1 SV=1 - [COPD_HUMAN],22.11,4.0,12.0,12.0,39.0,334.12,18.2,10.0,18.0,48.79,22.11,12.0,21.0,511.0,57.2,6.21,,,,,,,,
UBE2O,Q9C0C9,Ubiquitin-conjugating enzyme E2 O OS=Homo sapiens GN=UBE2O PE=1 SV=3 - [UBE2O_HUMAN],18.19,3.0,16.0,16.0,39.0,284.46,16.18,13.0,17.0,51.44,18.19,16.0,22.0,1292.0,141.2,5.12,,,,,,,,
EXOC2,Q96KP1,Exocyst complex component 2 OS=Homo sapiens GN=EXOC2 PE=1 SV=1 - [EXOC2_HUMAN],16.34,3.0,13.0,13.0,39.0,295.8,16.34,13.0,20.0,46.64,14.29,12.0,19.0,924.0,104.0,6.9,,,,,,,,
DIP2C,Q9Y2E4,Disco-interacting protein 2 homolog C OS=Homo sapiens GN=DIP2C PE=2 SV=2 - [DIP2C_HUMAN],12.92,10.0,14.0,16.0,39.0,273.1,10.93,13.0,19.0,40.2,12.21,14.0,20.0,1556.0,170.7,7.39,,,,,,,,
SF3B3,Q15393,Splicing factor 3B subunit 3 OS=Homo sapiens GN=SF3B3 PE=1 SV=4 - [SF3B3_HUMAN],10.76,5.0,12.0,12.0,39.0,296.55,10.19,11.0,18.0,45.33,9.86,11.0,21.0,1217.0,135.5,5.26,,,,,,,,
CELSR3,Q9NYQ7,Cadherin EGF LAG seven-pass G-type receptor 3 OS=Homo sapiens GN=CELSR3 PE=1 SV=2 - [CELR3_HUMAN],6.01,2.0,14.0,14.0,39.0,449.38,5.62,13.0,19.0,51.71,5.5,13.0,20.0,3312.0,358.0,6.68,,,,,,,,
YBX1,P67809,Nuclease-sensitive element-binding protein 1 OS=Homo sapiens GN=YBX1 PE=1 SV=3 - [YBOX1_HUMAN],51.23,7.0,11.0,11.0,38.0,582.54,51.23,11.0,19.0,54.77,51.23,11.0,19.0,324.0,35.9,9.88,,,,,,,,
AP3M1,Q9Y2T2,AP-3 complex subunit mu-1 OS=Homo sapiens GN=AP3M1 PE=1 SV=1 - [AP3M1_HUMAN],42.58,5.0,11.0,13.0,38.0,303.85,42.58,13.0,19.0,58.43,42.58,13.0,19.0,418.0,46.9,6.93,,,,,,,,
CSNK2A2,P19784,Casein kinase II subunit alpha' OS=Homo sapiens GN=CSNK2A2 PE=1 SV=1 - [CSK22_HUMAN],41.14,4.0,9.0,11.0,38.0,320.32,37.43,10.0,19.0,47.84,41.14,11.0,19.0,350.0,41.2,8.56,,,,,,,,
MRPL39,Q9NYK5,"39S ribosomal protein L39, mitochondrial OS=Homo sapiens GN=MRPL39 PE=1 SV=3 - [RM39_HUMAN]",37.28,3.0,12.0,12.0,38.0,272.98,37.28,11.0,19.0,41.18,37.28,12.0,19.0,338.0,38.7,7.65,,,,,,,,
RAB8A,B4DEK7,Ras-related protein Rab-8A OS=Homo sapiens GN=RAB8A PE=2 SV=1 - [B4DEK7_HUMAN],28.99,34.0,1.0,8.0,38.0,180.35,28.02,7.0,19.0,44.88,28.99,8.0,19.0,207.0,23.5,8.22,,,,,,,,
GPRIN3,Q6ZVF9,G protein-regulated inducer of neurite outgrowth 3 OS=Homo sapiens GN=GPRIN3 PE=2 SV=2 - [GRIN3_HUMAN],27.84,3.0,14.0,15.0,38.0,408.83,26.55,14.0,19.0,52.02,25.13,14.0,19.0,776.0,82.4,7.56,,,,,,,,
GPC1,P35052,Glypican-1 OS=Homo sapiens GN=GPC1 PE=1 SV=2 - [GPC1_HUMAN],27.24,6.0,12.0,12.0,38.0,202.47,27.24,12.0,19.0,52.61,27.24,12.0,19.0,558.0,61.6,7.3,,,,,,,,
OXSR1,O95747,Serine/threonine-protein kinase OSR1 OS=Homo sapiens GN=OXSR1 PE=1 SV=1 - [OXSR1_HUMAN],24.86,3.0,8.0,11.0,38.0,216.62,24.86,11.0,18.0,41.23,24.86,11.0,20.0,527.0,58.0,6.43,,,,,,,,
PLD3,Q8IV08,Phospholipase D3 OS=Homo sapiens GN=PLD3 PE=1 SV=1 - [PLD3_HUMAN],22.65,11.0,8.0,8.0,38.0,393.77,19.8,7.0,18.0,53.26,22.65,8.0,20.0,490.0,54.7,6.47,,,,,,,,
SEC24C,E7EP00,Protein transport protein Sec24C OS=Homo sapiens GN=SEC24C PE=2 SV=2 - [E7EP00_HUMAN],19.08,4.0,13.0,13.0,38.0,396.1,19.08,13.0,20.0,45.91,15.69,11.0,18.0,975.0,106.6,6.96,,,,,,,,
FXR1,B4DXZ6,Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens GN=FXR1 PE=2 SV=1 - [B4DXZ6_HUMAN],18.75,11.0,7.0,10.0,38.0,376.24,18.75,10.0,20.0,45.82,16.94,9.0,18.0,608.0,68.3,6.05,,,,,,,,
PPP2R1B,P30154-4,Isoform 4 of Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Homo sapiens GN=PPP2R1B - [2AAB_HUMAN],14.93,10.0,1.0,7.0,38.0,592.29,14.93,7.0,19.0,55.13,14.93,7.0,19.0,556.0,61.3,4.93,,,,,,,,
IGSF3,O75054,Immunoglobulin superfamily member 3 OS=Homo sapiens GN=IGSF3 PE=2 SV=3 - [IGSF3_HUMAN],14.41,2.0,12.0,12.0,38.0,316.66,12.48,11.0,19.0,42.64,13.4,11.0,19.0,1194.0,135.1,6.07,,,,,,,,
ARFGEF1,Q9Y6D6,Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Homo sapiens GN=ARFGEF1 PE=1 SV=2 - [BIG1_HUMAN],7.57,5.0,3.0,11.0,38.0,531.34,7.57,11.0,19.0,50.49,7.57,11.0,19.0,1849.0,208.6,5.85,,,,,,,,
PSMD7,P51665,26S proteasome non-ATPase regulatory subunit 7 OS=Homo sapiens GN=PSMD7 PE=1 SV=2 - [PSD7_HUMAN],44.14,5.0,12.0,12.0,37.0,345.43,36.73,11.0,17.0,48.06,44.14,12.0,20.0,324.0,37.0,6.77,,,,,,,,
H3F3B,K7EK07,Histone H3 (Fragment) OS=Homo sapiens GN=H3F3B PE=3 SV=1 - [K7EK07_HUMAN],42.42,10.0,8.0,8.0,37.0,180.68,37.88,7.0,18.0,47.58,42.42,8.0,19.0,132.0,14.9,11.3,,,,,,,,
PRPS1,P60891,Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens GN=PRPS1 PE=1 SV=2 - [PRPS1_HUMAN],40.25,10.0,11.0,11.0,37.0,264.33,33.33,10.0,18.0,50.19,40.25,11.0,19.0,318.0,34.8,6.98,,,,,,,,
GNB4,Q9HAV0,Guanine nucleotide-binding protein subunit beta-4 OS=Homo sapiens GN=GNB4 PE=1 SV=3 - [GBB4_HUMAN],35.88,41.0,3.0,8.0,37.0,456.94,32.65,7.0,19.0,49.06,31.18,6.0,18.0,340.0,37.5,6.0,,,,,,,,
AGPS,O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens GN=AGPS PE=1 SV=1 - [ADAS_HUMAN]",25.99,2.0,12.0,12.0,37.0,304.71,19.91,9.0,17.0,43.73,25.99,12.0,20.0,658.0,72.9,7.34,,,,,,,,
SORBS1,Q9BX66-4,Isoform 4 of Sorbin and SH3 domain-containing protein 1 OS=Homo sapiens GN=SORBS1 - [SRBS1_HUMAN],25.44,11.0,1.0,12.0,37.0,457.69,25.44,12.0,19.0,51.59,25.44,12.0,18.0,684.0,76.5,7.27,,,,,,,,
EPS15L1,Q9UBC2,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1 - [EP15R_HUMAN],22.57,10.0,12.0,12.0,37.0,444.9,19.91,11.0,18.0,48.41,22.57,12.0,19.0,864.0,94.2,5.11,,,,,,,,
SEMA7A,O75326-2,Isoform 2 of Semaphorin-7A OS=Homo sapiens GN=SEMA7A - [SEM7A_HUMAN],21.17,4.0,10.0,10.0,37.0,252.77,21.17,10.0,18.0,43.59,21.17,10.0,19.0,652.0,73.3,7.42,,,,,,,,
CMIP,Q8IY22,C-Maf-inducing protein OS=Homo sapiens GN=CMIP PE=1 SV=3 - [CMIP_HUMAN],21.09,3.0,11.0,11.0,37.0,252.91,18.89,10.0,18.0,38.54,21.09,11.0,19.0,773.0,86.3,6.7,,,,,,,,
VPS18,Q9P253,Vacuolar protein sorting-associated protein 18 homolog OS=Homo sapiens GN=VPS18 PE=1 SV=2 - [VPS18_HUMAN],17.78,1.0,13.0,13.0,37.0,353.74,17.78,13.0,19.0,39.95,16.86,12.0,18.0,973.0,110.1,6.07,,,,,,,,
GSN,P06396-2,Isoform 2 of Gelsolin OS=Homo sapiens GN=GSN - [GELS_HUMAN],16.69,9.0,9.0,9.0,37.0,380.44,16.69,9.0,18.0,53.99,16.69,9.0,19.0,731.0,80.6,5.85,,,,,,,,
NACAD,O15069,NAC-alpha domain-containing protein 1 OS=Homo sapiens GN=NACAD PE=1 SV=3 - [NACAD_HUMAN],13.44,1.0,12.0,12.0,37.0,336.53,12.42,11.0,18.0,45.75,13.44,12.0,19.0,1562.0,161.0,4.23,,,,,,,,
ITSN1,Q15811-4,Isoform 4 of Intersectin-1 OS=Homo sapiens GN=ITSN1 - [ITSN1_HUMAN],11.27,19.0,14.0,14.0,37.0,189.3,11.27,14.0,17.0,46.24,11.27,14.0,20.0,1650.0,187.7,7.94,,,,,,,,
SDK1,F8W6X9,Protein sidekick-1 OS=Homo sapiens GN=SDK1 PE=2 SV=1 - [F8W6X9_HUMAN],8.53,5.0,13.0,13.0,37.0,221.65,8.53,13.0,19.0,40.94,8.53,13.0,18.0,2193.0,239.8,6.34,,,,,,,,
CAD,F8VPD4,DNA fragmentation factor subunit beta OS=Homo sapiens GN=CAD PE=2 SV=1 - [F8VPD4_HUMAN],8.19,4.0,12.0,12.0,37.0,345.08,6.34,9.0,17.0,53.96,8.19,12.0,20.0,2162.0,235.9,6.55,,,,,,,,
HIST2H2AA3,Q6FI13,Histone H2A type 2-A OS=Homo sapiens GN=HIST2H2AA3 PE=1 SV=3 - [H2A2A_HUMAN],63.08,11.0,3.0,8.0,36.0,404.93,63.08,8.0,18.0,59.01,63.08,8.0,18.0,130.0,14.1,10.9,,,,,,,,
RAB6A,P20340,Ras-related protein Rab-6A OS=Homo sapiens GN=RAB6A PE=1 SV=3 - [RAB6A_HUMAN],44.71,37.0,4.0,10.0,36.0,271.18,31.25,6.0,16.0,46.64,44.71,10.0,20.0,208.0,23.6,5.54,,,,,,,,
RPL8,P62917,60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=1 SV=2 - [RL8_HUMAN],39.3,5.0,10.0,10.0,36.0,314.6,39.3,10.0,18.0,49.2,39.3,10.0,18.0,257.0,28.0,11.03,,,,,,,,
PPP1R7,Q15435-2,Isoform 2 of Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens GN=PPP1R7 - [PP1R7_HUMAN],36.59,12.0,10.0,10.0,36.0,262.11,36.59,10.0,18.0,41.51,36.59,10.0,18.0,317.0,36.8,5.2,,,,,,,,
PSMD5,Q16401-2,Isoform 2 of 26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens GN=PSMD5 - [PSMD5_HUMAN],28.85,4.0,11.0,11.0,36.0,487.84,26.68,10.0,17.0,50.09,28.85,11.0,19.0,461.0,51.3,5.44,,,,,,,,
NDUFS2,O75306-2,"Isoform 2 of NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Homo sapiens GN=NDUFS2 - [NDUS2_HUMAN]",26.04,3.0,10.0,10.0,36.0,218.12,26.04,10.0,18.0,30.27,26.04,10.0,18.0,457.0,51.8,8.15,,,,,,,,
COPS2,P61201,COP9 signalosome complex subunit 2 OS=Homo sapiens GN=COPS2 PE=1 SV=1 - [CSN2_HUMAN],25.06,5.0,10.0,10.0,36.0,278.92,25.06,10.0,18.0,49.65,25.06,10.0,18.0,443.0,51.6,5.53,,,,,,,,
DYNC1I1,O14576-2,Isoform 2 of Cytoplasmic dynein 1 intermediate chain 1 OS=Homo sapiens GN=DYNC1I1 - [DC1I1_HUMAN],25.0,7.0,9.0,9.0,36.0,416.42,25.0,9.0,18.0,46.37,25.0,9.0,18.0,628.0,70.7,5.08,,,,,,,,
SYN3,O14994,Synapsin-3 OS=Homo sapiens GN=SYN3 PE=1 SV=2 - [SYN3_HUMAN],24.66,3.0,8.0,8.0,36.0,419.55,24.66,8.0,17.0,58.72,24.66,8.0,19.0,580.0,63.3,9.39,,,,,,,,
ARHGEF7,Q14155-3,Isoform 3 of Rho guanine nucleotide exchange factor 7 OS=Homo sapiens GN=ARHGEF7 - [ARHG7_HUMAN],23.02,18.0,13.0,13.0,36.0,209.13,19.95,11.0,16.0,53.35,23.02,13.0,20.0,782.0,87.7,7.08,,,,,,,,
LSS,P48449-3,Isoform 3 of Lanosterol synthase OS=Homo sapiens GN=LSS - [ERG7_HUMAN],22.75,4.0,14.0,14.0,36.0,213.31,17.89,11.0,16.0,34.86,22.75,14.0,20.0,721.0,82.1,6.68,,,,,,,,
EIF4A3,P38919,Eukaryotic initiation factor 4A-III OS=Homo sapiens GN=EIF4A3 PE=1 SV=4 - [IF4A3_HUMAN],21.9,2.0,7.0,10.0,36.0,295.52,21.65,9.0,18.0,52.39,21.9,10.0,18.0,411.0,46.8,6.73,,,,,,,,
