,genes,description,MF Terms,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum
0,PLEKHH2,"pleckstrin homology, MyTH4 and FERM domain containing H2 [Source:HGNC Symbol;Acc:HGNC:30506]","['actin binding', 'identical protein binding']",0,0,0,0,0,0,0,0,0,0
121,CYP24A1,cytochrome P450 family 24 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2602],"['heme binding', '25-hydroxycholecalciferol-23-hydroxylase activity', '1-alpha,25-dihydroxyvitamin D3 23-hydroxylase activity', '1-alpha,25-dihydroxyvitamin D3 24-hydroxylase activity', 'vitamin D 25-hydroxylase activity', '25-hydroxycholecalciferol-24-hydroxylase activity', 'iron ion binding']",0,0,0,0,0,0,0,0,0,0
122,HMGB4,high mobility group box 4 [Source:HGNC Symbol;Acc:HGNC:24954],"['protein binding', 'DNA binding, bending']",0,0,0,0,0,0,0,0,0,0
123,PEX13,peroxisomal biogenesis factor 13 [Source:HGNC Symbol;Acc:HGNC:8855],['protein binding'],0,0,0,0,0,0,0,0,0,0
124,FBXL6,F-box and leucine rich repeat protein 6 [Source:HGNC Symbol;Acc:HGNC:13603],['ubiquitin-protein transferase activity'],0,0,0,0,0,0,0,0,0,0
125,NFYA,nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804],"['protein binding', 'DNA-binding transcription factor activity, RNA polymerase II-specific', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding']",0,0,0,0,0,0,0,0,0,0
126,RBM10,RNA binding motif protein 10 [Source:HGNC Symbol;Acc:HGNC:9896],"['miRNA binding', 'identical protein binding', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
127,CALCOCO2,calcium binding and coiled-coil domain 2 [Source:HGNC Symbol;Acc:HGNC:29912],"['protein homodimerization activity', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
128,COASY,Coenzyme A synthase [Source:HGNC Symbol;Acc:HGNC:29932],"['dephospho-CoA kinase activity', 'protein binding', 'pantetheine-phosphate adenylyltransferase activity', 'ATP binding']",0,1,0,0,0,0,1,1,1,2
129,EED,embryonic ectoderm development [Source:HGNC Symbol;Acc:HGNC:3188],"['RNA polymerase II transcription corepressor binding', 'histone methyltransferase activity (H3-K27 specific)', 'identical protein binding', 'nucleosome binding', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding']",0,0,0,0,0,1,0,0,1,1
130,HIVEP1,HIVEP zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4920],"['protein binding', 'DNA-binding transcription repressor activity, RNA polymerase II-specific', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
131,AUTS2,activator of transcription and developmental regulator AUTS2 [Source:HGNC Symbol;Acc:HGNC:14262],"['protein binding', 'chromatin binding']",0,0,0,0,0,0,0,0,0,0
132,USP33,ubiquitin specific peptidase 33 [Source:HGNC Symbol;Acc:HGNC:20059],"['G protein-coupled receptor binding', 'zinc ion binding', 'small GTPase binding', 'cysteine-type endopeptidase activity', 'thiol-dependent ubiquitin-specific protease activity']",0,0,0,0,0,0,0,0,0,0
133,TLR9,toll like receptor 9 [Source:HGNC Symbol;Acc:HGNC:15633],"['siRNA binding', 'interleukin-1 receptor binding', 'protein homodimerization activity', 'pattern recognition receptor activity', 'transmembrane signaling receptor activity', 'unmethylated CpG binding']",0,0,0,0,0,0,0,0,0,0
134,ZNF214,zinc finger protein 214 [Source:HGNC Symbol;Acc:HGNC:13006],"['zinc ion binding', 'DNA-binding transcription factor activity, RNA polymerase II-specific', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding']",0,0,0,0,0,1,0,0,1,1
135,CD22,CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643],"['protein phosphatase binding', 'CD4 receptor binding', 'carbohydrate binding', 'sialic acid binding', 'IgM binding']",0,0,0,0,0,0,0,0,0,0
136,AP3B1,adaptor related protein complex 3 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:566],"['protein phosphatase binding', 'GTP-dependent protein binding']",0,1,0,0,0,0,1,1,1,2
137,DDX18,DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741],"['protein binding', 'RNA binding', 'RNA helicase activity', 'ATP binding']",0,0,0,0,0,0,0,0,0,0
138,GALT,galactose-1-phosphate uridylyltransferase [Source:HGNC Symbol;Acc:HGNC:4135],"['protein binding', 'UDP-glucose:hexose-1-phosphate uridylyltransferase activity', 'zinc ion binding']",0,0,0,0,0,0,0,0,0,0
139,ZNF34,zinc finger protein 34 [Source:HGNC Symbol;Acc:HGNC:13098],"['protein binding', 'DNA-binding transcription factor activity, RNA polymerase II-specific', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
140,UXS1,UDP-glucuronate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:17729],"['UDP-glucuronate decarboxylase activity', 'protein homodimerization activity', 'NAD+ binding']",0,0,0,0,0,0,1,0,1,1
141,DAPK3,death associated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:2676],"['protein serine kinase activity', 'ATP binding', 'protein C-terminus binding', 'cAMP response element binding protein binding', 'protein homodimerization activity', 'small GTPase binding', 'leucine zipper domain binding', 'protein threonine kinase activity']",0,0,0,0,0,0,0,0,0,0
142,POLQ,DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186],"['DNA-directed DNA polymerase activity', 'ATP binding', 'single-stranded DNA helicase activity', 'chromatin binding', ""5'-deoxyribose-5-phosphate lyase activity"", ""5'-3' exonuclease activity"", 'protein binding', 'damaged DNA binding']",0,0,0,0,0,0,0,0,0,0
143,CHST8,carbohydrate sulfotransferase 8 [Source:HGNC Symbol;Acc:HGNC:15993],"['protein binding', 'N-acetylgalactosamine 4-O-sulfotransferase activity']",0,0,0,0,0,0,0,0,0,0
144,PDXK,pyridoxal kinase [Source:HGNC Symbol;Acc:HGNC:8819],"['zinc ion binding', 'ATP binding', 'pyridoxal phosphate binding', 'sodium ion binding', 'pyridoxal kinase activity', 'potassium ion binding', 'magnesium ion binding', 'protein homodimerization activity', 'lithium ion binding']",0,0,0,1,1,0,1,0,3,3
145,CYB5B,cytochrome b5 type B [Source:HGNC Symbol;Acc:HGNC:24374],"['heme binding', 'enzyme activator activity', 'nitrite reductase (NO-forming) activity', 'protein binding', 'electron transfer activity', 'metal ion binding']",0,1,0,1,0,0,0,1,1,2
146,ARPP21,cAMP regulated phosphoprotein 21 [Source:HGNC Symbol;Acc:HGNC:16968],"['calmodulin binding', 'nucleic acid binding']",0,0,0,1,1,0,0,0,2,2
147,ZNF320,zinc finger protein 320 [Source:HGNC Symbol;Acc:HGNC:13842],"['protein binding', 'DNA-binding transcription factor activity, RNA polymerase II-specific', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
148,AMOT,angiomotin [Source:HGNC Symbol;Acc:HGNC:17810],"['angiostatin binding', 'signaling receptor activity']",0,0,0,1,0,0,0,0,1,1
149,GJB3,gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285],"['protein binding', 'gap junction channel activity']",0,0,0,0,0,0,0,0,0,0
150,FUOM,fucose mutarotase [Source:HGNC Symbol;Acc:HGNC:24733],"['L-fucose mutarotase activity', 'fucose binding']",0,0,0,0,0,0,0,0,0,0
151,DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:2728],"['protein binding', 'enzyme activator activity']",0,1,0,1,1,1,1,1,4,5
152,SLC38A10,solute carrier family 38 member 10 [Source:HGNC Symbol;Acc:HGNC:28237],['amino acid transmembrane transporter activity'],0,0,0,0,0,0,0,0,0,0
153,GTPBP6,GTP binding protein 6 (putative) [Source:HGNC Symbol;Acc:HGNC:30189],"['metal ion binding', 'GTP binding', 'ribosome binding']",0,0,0,0,0,0,0,0,0,0
154,CABLES1,Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:HGNC:25097],['protein binding'],0,0,0,0,0,0,0,0,0,0
155,ANK3,ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494],"['cytoskeletal anchor activity', 'cadherin binding', 'spectrin binding', 'structural constituent of cytoskeleton', 'ion channel binding']",0,1,1,1,1,1,1,2,4,6
156,TOMM6,translocase of outer mitochondrial membrane 6 [Source:HGNC Symbol;Acc:HGNC:34528],['protein binding'],0,0,0,0,0,0,0,0,0,0
157,RBBP8,"RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]","['double-strand/single-strand DNA junction binding', 'Y-form DNA binding', 'double-stranded DNA binding', 'identical protein binding', 'RNA polymerase II repressing transcription factor binding', 'single-stranded DNA binding', 'flap-structured DNA binding', 'transcription corepressor activity', 'damaged DNA binding', 'single-stranded DNA endodeoxyribonuclease activity']",0,0,0,0,0,0,0,0,0,0
158,ZNF787,zinc finger protein 787 [Source:HGNC Symbol;Acc:HGNC:26998],"['sequence-specific double-stranded DNA binding', 'DNA-binding transcription factor activity, RNA polymerase II-specific', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
159,COL14A1,collagen type XIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2191],"['protein-macromolecule adaptor activity', 'RNA binding', 'collagen binding', 'extracellular matrix structural constituent conferring tensile strength']",0,0,0,0,0,0,0,0,0,0
160,KLHL9,kelch like family member 9 [Source:HGNC Symbol;Acc:HGNC:18732],"['cullin family protein binding', 'ubiquitin-protein transferase activity']",0,0,0,0,0,0,0,0,0,0
161,CCDC88C,coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967],"['guanyl-nucleotide exchange factor activity', 'dynein light intermediate chain binding', 'microtubule binding', 'protein self-association', 'frizzled binding', 'PDZ domain binding', 'identical protein binding', 'G-protein alpha-subunit binding']",0,0,0,0,0,0,0,0,0,0
162,HMGN1,high mobility group nucleosome binding domain 1 [Source:HGNC Symbol;Acc:HGNC:4984],['nucleosomal DNA binding'],0,0,0,0,0,0,0,0,0,0
163,CCNT1,cyclin T1 [Source:HGNC Symbol;Acc:HGNC:1599],"['protein kinase binding', 'cyclin-dependent protein serine/threonine kinase activator activity', '7SK snRNA binding', 'transcription regulatory region sequence-specific DNA binding', 'chromatin binding', 'RNA polymerase binding', 'transcription factor binding']",0,0,0,0,0,0,0,0,0,0
164,MLH3,mutL homolog 3 [Source:HGNC Symbol;Acc:HGNC:7128],"['satellite DNA binding', 'ATP binding', 'centromeric DNA binding', 'mismatched DNA binding', 'ATPase activity', 'chromatin binding', 'protein binding']",0,0,0,0,0,0,0,0,0,0
165,OMA1,OMA1 zinc metallopeptidase [Source:HGNC Symbol;Acc:HGNC:29661],"['lipid binding', 'metalloendopeptidase activity', 'metal ion binding']",0,0,0,0,0,0,1,0,1,1
166,RHOQ,ras homolog family member Q [Source:HGNC Symbol;Acc:HGNC:17736],"['profilin binding', 'GTP binding', 'GTPase activity', 'GBD domain binding']",0,0,0,0,0,0,0,0,0,0
167,FOXD4,forkhead box D4 [Source:HGNC Symbol;Acc:HGNC:3805],"['protein binding', 'DNA binding, bending', 'DNA-binding transcription factor activity, RNA polymerase II-specific', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding']",0,0,0,0,0,0,0,0,0,0
168,ST6GAL2,"ST6 beta-galactoside alpha-2,6-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10861]","['beta-galactoside alpha-2,6-sialyltransferase activity']",0,0,0,0,0,0,0,0,0,0
169,SHB,SH2 domain containing adaptor protein B [Source:HGNC Symbol;Acc:HGNC:10838],['phosphotyrosine residue binding'],0,0,0,0,0,0,0,0,0,0
170,ASS1,argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758],"['ATP binding', 'argininosuccinate synthase activity', 'RNA binding', 'identical protein binding', 'toxic substance binding', 'amino acid binding']",0,0,0,1,0,0,1,0,2,2
171,ZFR,zinc finger RNA binding protein [Source:HGNC Symbol;Acc:HGNC:17277],"['double-stranded RNA binding', 'zinc ion binding', 'single-stranded RNA binding', 'protein binding', 'DNA binding']",0,0,0,0,0,1,1,0,2,2
172,COG4,component of oligomeric golgi complex 4 [Source:HGNC Symbol;Acc:HGNC:18620],['protein binding'],0,0,0,0,0,0,1,0,1,1
173,GNG12,G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663],"['G-protein beta-subunit binding', 'phosphate ion binding', 'PDZ domain binding']",0,1,1,1,1,0,0,2,2,4
174,KLK9,kallikrein related peptidase 9 [Source:HGNC Symbol;Acc:HGNC:6370],['serine-type endopeptidase activity'],0,0,0,0,0,0,0,0,0,0
175,PAPSS1,3'-phosphoadenosine 5'-phosphosulfate synthase 1 [Source:HGNC Symbol;Acc:HGNC:8603],"['protein homodimerization activity', 'sulfate adenylyltransferase (ATP) activity', 'ATP binding', 'adenylylsulfate kinase activity']",0,0,0,1,0,0,0,0,1,1
176,SIX2,SIX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:10888],"['transcription factor binding', 'protein-containing complex binding', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'DNA-binding transcription activator activity, RNA polymerase II-specific']",0,0,0,0,0,0,0,0,0,0
177,UNC13D,unc-13 homolog D [Source:HGNC Symbol;Acc:HGNC:23147],"['small GTPase binding', 'metal ion binding']",0,0,1,0,0,0,0,1,0,1
178,FAT3,FAT atypical cadherin 3 [Source:HGNC Symbol;Acc:HGNC:23112],['calcium ion binding'],0,0,0,0,0,1,1,0,2,2
179,GPR161,G protein-coupled receptor 161 [Source:HGNC Symbol;Acc:HGNC:23694],"['protein binding', 'G protein-coupled receptor activity']",0,0,0,0,0,0,0,0,0,0
180,BTN3A3,butyrophilin subfamily 3 member A3 [Source:HGNC Symbol;Acc:HGNC:1140],['signaling receptor binding'],0,0,0,0,0,0,0,0,0,0
181,ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit [Source:HGNC Symbol;Acc:HGNC:3439]","['protein binding', 'protein-containing complex binding', 'ubiquitin-protein transferase activity']",0,0,0,0,0,0,0,0,0,0
182,EXOC6,exocyst complex component 6 [Source:HGNC Symbol;Acc:HGNC:23196],['protein binding'],0,1,1,1,1,0,0,2,2,4
183,NR4A2,nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981],"['glucocorticoid receptor binding', 'zinc ion binding', 'retinoid X receptor binding', 'nuclear receptor activity', 'DNA-binding transcription activator activity, RNA polymerase II-specific', 'beta-catenin binding', 'protein heterodimerization activity', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding']",0,0,0,0,0,0,0,0,0,0
184,THAP2,THAP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20854],"['DNA binding', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
185,KCNN4,potassium calcium-activated channel subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:6293],"['calmodulin binding', 'small conductance calcium-activated potassium channel activity', 'Intermediate conductance calcium-activated potassium channel activity', 'protein phosphatase binding']",0,0,0,0,0,0,0,0,0,0
186,CYP26B1,cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581],"['heme binding', 'retinoic acid binding', 'retinoic acid 4-hydroxylase activity', 'oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen', 'protein binding', 'iron ion binding']",0,0,0,0,0,0,1,0,1,1
187,ZFYVE16,zinc finger FYVE-type containing 16 [Source:HGNC Symbol;Acc:HGNC:20756],"['protein binding', 'phosphatidylinositol-3,4,5-trisphosphate binding', '1-phosphatidylinositol binding', 'metal ion binding']",0,0,0,0,0,0,1,0,1,1
188,ROCK1,Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251],"['Rho-dependent protein serine/threonine kinase activity', 'protein serine kinase activity', 'ATP binding', 'small GTPase binding', 'aspartic-type endopeptidase inhibitor activity', 'tau-protein kinase activity', 'tau protein binding', 'protein threonine kinase activity', 'metal ion binding']",0,1,1,1,0,0,1,2,2,4
189,FGF12,fibroblast growth factor 12 [Source:HGNC Symbol;Acc:HGNC:3668],"['growth factor activity', 'sodium channel regulator activity', 'ion channel binding']",0,0,0,0,0,0,0,0,0,0
190,AGK,acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869],"['D-erythro-sphingosine kinase activity', 'ATP binding', 'acylglycerol kinase activity', 'diacylglycerol kinase activity', 'dihydroceramide kinase activity', 'protein binding', 'NAD+ kinase activity', 'ceramide kinase activity']",0,1,1,1,1,1,1,2,4,6
191,SLC10A7,solute carrier family 10 member 7 [Source:HGNC Symbol;Acc:HGNC:23088],"['symporter activity', 'bile acid transmembrane transporter activity']",0,0,0,0,0,0,0,0,0,0
192,PTBP2,polypyrimidine tract binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17662],['mRNA binding'],0,0,0,1,0,1,1,0,3,3
193,UHMK1,U2AF homology motif kinase 1 [Source:HGNC Symbol;Acc:HGNC:19683],"['protein serine kinase activity', 'ATP binding', 'RNA binding', 'protein binding', 'protein threonine kinase activity', 'ribonucleoprotein complex binding']",0,0,0,0,0,0,0,0,0,0
194,STRAP,serine/threonine kinase receptor associated protein [Source:HGNC Symbol;Acc:HGNC:30796],"['protein binding', 'RNA binding']",0,1,0,0,0,1,1,1,2,3
195,MTDH,metadherin [Source:HGNC Symbol;Acc:HGNC:29608],"['double-stranded RNA binding', 'NF-kappaB binding', 'RNA polymerase II transcription factor binding', 'transcription coactivator activity']",0,1,0,1,1,0,1,1,3,4
196,PAIP2B,poly(A) binding protein interacting protein 2B [Source:HGNC Symbol;Acc:HGNC:29200],"['protein binding', 'translation repressor activity, mRNA regulatory element binding']",0,0,0,0,0,0,0,0,0,0
197,PNP,purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892],"['nucleoside binding', 'phosphate ion binding', 'purine nucleobase binding', 'purine-nucleoside phosphorylase activity', 'identical protein binding']",0,0,0,0,0,0,0,0,0,0
198,KCNQ4,potassium voltage-gated channel subfamily Q member 4 [Source:HGNC Symbol;Acc:HGNC:6298],"['delayed rectifier potassium channel activity', 'calmodulin binding']",0,0,0,0,0,0,1,0,1,1
199,EML4,EMAP like 4 [Source:HGNC Symbol;Acc:HGNC:1316],['microtubule binding'],0,0,0,1,0,0,1,0,2,2
200,TUBGCP2,tubulin gamma complex associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18599],"['microtubule minus-end binding', 'gamma-tubulin binding']",0,0,0,1,0,1,1,0,3,3
201,AFF1,AF4/FMR2 family member 1 [Source:HGNC Symbol;Acc:HGNC:7135],['protein binding'],0,0,0,0,0,0,0,0,0,0
202,SEC23IP,SEC23 interacting protein [Source:HGNC Symbol;Acc:HGNC:17018],"['protein binding', 'phospholipase activity', 'RNA binding', 'metal ion binding']",0,0,0,0,0,0,1,0,1,1
203,CDC73,cell division cycle 73 [Source:HGNC Symbol;Acc:HGNC:16783],['RNA polymerase II complex binding'],0,0,0,0,0,0,0,0,0,0
204,NME1,NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849],"['enzyme binding', 'GTP binding', 'ribosomal small subunit binding', 'ATP binding', 'nucleoside diphosphate kinase activity', 'gamma-tubulin binding', 'magnesium ion binding', 'RNA binding', 'identical protein binding', 'single-stranded DNA binding', 'RNA polymerase II transcription regulatory region sequence-specific DNA binding', 'deoxyribonuclease activity', 'intermediate filament binding']",0,1,1,0,1,0,0,2,1,3
205,AXL,AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905],"['ATP binding', 'phosphatidylinositol 3-kinase binding', 'virus receptor activity', 'phosphatidylserine binding', 'transmembrane receptor protein tyrosine kinase activity', 'myosin heavy chain binding']",0,0,0,0,0,0,0,0,0,0
206,TOP1MT,DNA topoisomerase I mitochondrial [Source:HGNC Symbol;Acc:HGNC:29787],"['DNA topoisomerase type I (single strand cut, ATP-independent) activity', 'DNA binding']",0,0,0,0,0,0,0,0,0,0
207,LYL1,LYL1 basic helix-loop-helix family member [Source:HGNC Symbol;Acc:HGNC:6734],"['protein dimerization activity', 'DNA-binding transcription factor activity, RNA polymerase II-specific', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding']",0,0,0,0,0,0,0,0,0,0
208,DNAJC16,DnaJ heat shock protein family (Hsp40) member C16 [Source:HGNC Symbol;Acc:HGNC:29157],None,0,0,0,1,0,0,1,0,2,2
209,INTS9,integrator complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:25592],['protein binding'],0,0,0,0,0,0,0,0,0,0
210,SLC5A5,solute carrier family 5 member 5 [Source:HGNC Symbol;Acc:HGNC:11040],"['protein binding', 'sodium:iodide symporter activity']",0,0,0,0,0,0,0,0,0,0
211,ORC6,origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151],"['protein binding', 'DNA binding']",0,0,0,0,0,0,0,0,0,0
212,ZNF473,zinc finger protein 473 [Source:HGNC Symbol;Acc:HGNC:23239],"['metal ion binding', 'protein binding', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'DNA-binding transcription activator activity, RNA polymerase II-specific']",0,0,0,0,0,0,0,0,0,0
213,MAPRE1,microtubule associated protein RP/EB family member 1 [Source:HGNC Symbol;Acc:HGNC:6890],"['protein kinase binding', 'microtubule plus-end binding', 'cadherin binding', 'protein C-terminus binding', 'RNA binding', 'identical protein binding']",0,0,0,1,1,1,1,0,4,4
214,PARM1,prostate androgen-regulated mucin-like protein 1 [Source:HGNC Symbol;Acc:HGNC:24536],['protein binding'],0,0,0,0,0,0,0,0,0,0
215,ZBTB12,zinc finger and BTB domain containing 12 [Source:HGNC Symbol;Acc:HGNC:19066],"['protein binding', 'DNA-binding transcription repressor activity, RNA polymerase II-specific', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
216,ZNF804A,zinc finger protein 804A [Source:HGNC Symbol;Acc:HGNC:21711],['metal ion binding'],0,0,0,0,0,0,0,0,0,0
217,DMRTC2,DMRT like family C2 [Source:HGNC Symbol;Acc:HGNC:13911],"['DNA-binding transcription factor activity, RNA polymerase II-specific', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
218,MST1R,macrophage stimulating 1 receptor [Source:HGNC Symbol;Acc:HGNC:7381],"['enzyme binding', 'ATP binding', 'macrophage colony-stimulating factor receptor activity']",0,0,0,1,0,0,0,0,1,1
219,PMPCB,"peptidase, mitochondrial processing subunit beta [Source:HGNC Symbol;Acc:HGNC:9119]","['metalloendopeptidase activity', 'metal ion binding']",0,0,0,1,0,0,1,0,2,2
220,PWWP2A,PWWP domain containing 2A [Source:HGNC Symbol;Acc:HGNC:29406],"['histone binding', 'chromatin binding']",0,0,0,0,0,0,0,0,0,0
221,CDK12,cyclin dependent kinase 12 [Source:HGNC Symbol;Acc:HGNC:24224],"['protein kinase binding', 'RNA polymerase II CTD heptapeptide repeat kinase activity', 'ATP binding', 'cyclin binding', 'cyclin-dependent protein serine/threonine kinase activity']",0,0,0,0,1,0,0,0,1,1
222,ABCA6,ATP binding cassette subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:36],"['ATPase-coupled transmembrane transporter activity', 'lipid transporter activity', 'ATP binding']",0,0,0,0,0,0,0,0,0,0
223,ZFAND1,zinc finger AN1-type containing 1 [Source:HGNC Symbol;Acc:HGNC:25858],"['protein binding', 'proteasome binding', 'zinc ion binding']",0,0,0,0,0,0,0,0,0,0
224,GEMIN8,gem nuclear organelle associated protein 8 [Source:HGNC Symbol;Acc:HGNC:26044],['protein binding'],0,0,0,0,0,0,0,0,0,0
225,NKTR,natural killer cell triggering receptor [Source:HGNC Symbol;Acc:HGNC:7833],"['peptidyl-prolyl cis-trans isomerase activity', 'cyclosporin A binding']",0,0,0,0,0,0,0,0,0,0
226,ESYT3,extended synaptotagmin 3 [Source:HGNC Symbol;Acc:HGNC:24295],"['calcium-dependent phospholipid binding', 'phosphatidylinositol binding', 'phosphatidylcholine binding', 'phosphatidylethanolamine binding', 'protein binding', 'calcium ion binding']",0,0,0,0,0,0,0,0,0,0
227,INPPL1,inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080],"['SH3 domain binding', 'actin binding', 'SH2 domain binding', 'hydrolase activity']",0,0,0,0,0,0,0,0,0,0
228,HOXA1,homeobox A1 [Source:HGNC Symbol;Acc:HGNC:5099],"['identical protein binding', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'DNA-binding transcription activator activity, RNA polymerase II-specific']",0,0,0,0,0,0,0,0,0,0
229,RUFY2,RUN and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19761],"['SH3 domain binding', 'metal ion binding']",0,0,0,1,0,0,1,0,2,2
230,PIH1D1,PIH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26075],"['protein kinase binding', 'RNA polymerase I core promoter sequence-specific DNA binding', 'phosphoprotein binding', 'ATPase binding', 'histone binding']",0,0,0,0,0,0,0,0,0,0
231,UCK2,uridine-cytidine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12562],"['uridine kinase activity', 'identical protein binding', 'ATP binding']",0,0,0,0,0,0,0,0,0,0
232,ARHGAP12,Rho GTPase activating protein 12 [Source:HGNC Symbol;Acc:HGNC:16348],['GTPase activator activity'],0,0,0,0,0,0,0,0,0,0
233,PRKCI,protein kinase C iota [Source:HGNC Symbol;Acc:HGNC:9404],"['calcium-dependent protein kinase C activity', 'ATP binding', 'phospholipid binding', 'protein binding', 'metal ion binding']",0,0,0,1,0,0,1,0,2,2
234,UBXN10,UBX domain protein 10 [Source:HGNC Symbol;Acc:HGNC:26354],['protein binding'],0,0,0,0,0,0,0,0,0,0
235,RAB40C,"RAB40C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18285]","['GDP binding', 'GTP binding', 'GTPase activity']",0,0,0,0,0,0,0,0,0,0
236,B4GALT4,"beta-1,4-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:927]","['N-acetyllactosamine synthase activity', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
237,FAM13A,family with sequence similarity 13 member A [Source:HGNC Symbol;Acc:HGNC:19367],['GTPase activator activity'],0,0,0,0,0,0,0,0,0,0
238,RPTN,repetin [Source:HGNC Symbol;Acc:HGNC:26809],"['transition metal ion binding', 'calcium ion binding']",0,0,0,0,0,0,0,0,0,0
239,CAPN10,calpain 10 [Source:HGNC Symbol;Acc:HGNC:1477],"['cytoskeletal protein binding', 'SNARE binding', 'calcium-dependent cysteine-type endopeptidase activity']",0,0,0,0,0,0,0,0,0,0
240,KLHL24,kelch like family member 24 [Source:HGNC Symbol;Acc:HGNC:25947],['protein binding'],0,0,0,0,0,0,0,0,0,0
241,ERBB3,erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431],"['ErbB-3 class receptor binding', 'ATP binding', 'ubiquitin protein ligase binding', 'transmembrane receptor protein tyrosine kinase activity', 'protein tyrosine kinase activator activity', 'identical protein binding', 'protein heterodimerization activity', 'neuregulin receptor activity', 'neuregulin binding']",0,0,0,0,0,0,0,0,0,0
242,RRP1,ribosomal RNA processing 1 [Source:HGNC Symbol;Acc:HGNC:18785],"['protein binding', 'RNA binding']",0,0,0,0,0,0,0,0,0,0
