NGN2-Converted hiPSC Neurons Synapse Proteomics Screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Symbol,Accession,Description,ΣCoverage,Σ# Proteins,Σ# Unique Peptides,Σ# Peptides,Σ# PSMs,Score A2,Coverage A2,# Peptides A2,# PSM A2,Score A4,Coverage A4,# Peptides A4,# PSM A4,# AAs,MW [kDa],calc. pI,,,,,,,,
PSMC2,P35998,26S protease regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=1 SV=3 - [PRS7_HUMAN],64.2,3,24,24,104,1207.83,64.2,24,51,154.18,62.12,23,53,433,48.6,5.95,,,,,,,,
CAP1,Q01518,Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=5 - [CAP1_HUMAN],47.37,12,22,23,104,1185.2,47.37,23,51,145.03,47.37,23,53,475,51.9,8.06,,,,,,,,
RPL4,P36578,60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5 - [RL4_HUMAN],43.56,4,21,21,104,747.33,43.56,20,51,135.91,43.56,21,53,427,47.7,11.06,,,,,,,,
YWHAE,P62258,14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1 - [1433E_HUMAN],65.49,6,19,21,103,770.09,65.49,21,53,135.63,65.49,21,50,255,29.2,4.74,,,,,,,,
SLC25A6,P12236,ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4 - [ADT3_HUMAN],47.65,3,3,22,103,713.99,47.65,20,53,129.14,44.97,20,50,298,32.8,9.74,,,,,,,,
AARS,P49588,"Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2 - [SYAC_HUMAN]",26.03,2,22,22,103,1242.73,22,19,50,135.32,26.03,22,53,968,106.7,5.53,,,,,,,,
ACTR1A,P61163,Alpha-centractin OS=Homo sapiens GN=ACTR1A PE=1 SV=1 - [ACTZ_HUMAN],62.5,4,12,19,102,929.85,62.5,18,52,169.41,59.84,17,50,376,42.6,6.64,,,,,,,,
YWHAB,P31946-2,Isoform Short of 14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB - [1433B_HUMAN],61.07,6,10,17,102,984.05,61.07,17,53,135.67,61.07,17,49,244,27.8,4.83,,,,,,,,
PRKAR2B,P31323,cAMP-dependent protein kinase type II-beta regulatory subunit OS=Homo sapiens GN=PRKAR2B PE=1 SV=3 - [KAP3_HUMAN],49.52,1,15,18,102,1413.43,44.5,16,51,156.66,49.52,18,51,418,46.3,4.92,,,,,,,,
CADPS,Q9ULU8,Calcium-dependent secretion activator 1 OS=Homo sapiens GN=CADPS PE=1 SV=3 - [CAPS1_HUMAN],31.78,17,25,27,102,906.72,31.41,26,52,136.97,31.78,26,50,1353,152.7,5.71,,,,,,,,
ALDH7A1,P49419-2,Isoform 2 of Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens GN=ALDH7A1 - [AL7A1_HUMAN],61.84,9,25,25,101,1195.07,58.12,23,50,162.53,61.84,24,51,511,55.3,6.86,,,,,,,,
DPYSL4,O14531,Dihydropyrimidinase-related protein 4 OS=Homo sapiens GN=DPYSL4 PE=1 SV=2 - [DPYL4_HUMAN],60.49,2,24,24,101,1128.61,60.49,24,50,161.18,60.49,24,51,572,61.8,7.09,,,,,,,,
HADHA,P40939,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2 - [ECHA_HUMAN]",46.92,3,26,26,101,838.85,46.92,26,50,127.8,46.92,26,51,763,82.9,9.04,,,,,,,,
CASK,O14936-3,Isoform 3 of Peripheral plasma membrane protein CASK OS=Homo sapiens GN=CASK - [CSKP_HUMAN],33.33,11,30,30,101,667.68,32.22,27,46,129,32.66,29,55,897,102,6.35,,,,,,,,
DDX17,Q92841,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=1 SV=2 - [DDX17_HUMAN],37.59,7,17,25,100,910.38,31.28,20,44,130.58,36.21,24,56,729,80.2,8.27,,,,,,,,
SOGA3,E9PJP2,Protein SOGA3 OS=Homo sapiens GN=SOGA3 PE=2 SV=1 - [E9PJP2_HUMAN],35.81,5,25,26,100,836.01,35.81,25,49,126.38,35.81,26,51,944,102.8,6.06,,,,,,,,
CSE1L,P55060-3,Isoform 3 of Exportin-2 OS=Homo sapiens GN=CSE1L - [XPO2_HUMAN],26.98,5,21,21,100,993.86,26.98,21,50,125.89,26.14,20,50,945,107.7,5.82,,,,,,,,
VAT1,Q99536,Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens GN=VAT1 PE=1 SV=2 - [VAT1_HUMAN],61.32,11,18,18,99,1178.51,61.32,18,48,150.65,61.32,18,51,393,41.9,6.29,,,,,,,,
TKT,P29401,Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3 - [TKT_HUMAN],38.36,6,19,19,99,1200.48,36.12,18,48,121.07,38.36,19,51,623,67.8,7.66,,,,,,,,
PI4KA,P42356,Phosphatidylinositol 4-kinase alpha OS=Homo sapiens GN=PI4KA PE=1 SV=3 - [PI4KA_HUMAN],19.72,9,33,33,99,716.7,18.64,31,48,107.6,19.23,32,51,2044,231.2,6.87,,,,,,,,
UCHL1,P09936,Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Homo sapiens GN=UCHL1 PE=1 SV=2 - [UCHL1_HUMAN],67.26,5,16,16,98,686.04,67.26,16,47,156.72,67.26,16,51,223,24.8,5.48,,,,,,,,
VDAC2,P45880-2,Isoform 2 of Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens GN=VDAC2 - [VDAC2_HUMAN],57.95,7,14,14,98,1438.02,57.95,14,50,154.21,57.95,14,48,283,30.4,7.2,,,,,,,,
KRT19,P08727,"Keratin, type I cytoskeletal 19 OS=Homo sapiens GN=KRT19 PE=1 SV=4 - [K1C19_HUMAN]",52.25,15,15,24,98,788.9,49.75,22,47,115.05,52.25,24,51,400,44.1,5.14,,,,,,,,
RPN1,P04843,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens GN=RPN1 PE=1 SV=1 - [RPN1_HUMAN],40.86,3,19,19,98,742.94,40.86,19,48,127.81,40.86,19,50,607,68.5,6.38,,,,,,,,
CYFIP2,E7EVJ5,Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens GN=CYFIP2 PE=2 SV=1 - [E7EVJ5_HUMAN],27.22,14,13,26,98,814.76,27.22,25,49,108.98,27.22,26,49,1227,142.5,7.17,,,,,,,,
AGRN,O00468-6,Isoform 6 of Agrin OS=Homo sapiens GN=AGRN - [AGRIN_HUMAN],19.51,8,24,24,98,1864.4,17.41,22,47,167.71,19.51,24,51,2045,214.7,6.4,,,,,,,,
SEPT11,D6RGI3,"Septin 11, isoform CRA_b OS=Homo sapiens GN=SEPT11 PE=3 SV=1 - [D6RGI3_HUMAN]",55.06,26,12,22,97,887.95,51.29,19,47,122.5,55.06,22,50,425,49,6.96,,,,,,,,
MAP6,Q96JE9,Microtubule-associated protein 6 OS=Homo sapiens GN=MAP6 PE=1 SV=2 - [MAP6_HUMAN],40.1,3,23,23,97,1195.4,35.92,20,47,170.08,37.88,21,50,813,86.5,9.16,,,,,,,,
DLD,P09622,"Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens GN=DLD PE=1 SV=2 - [DLDH_HUMAN]",34.77,6,15,15,97,1069.85,34.77,15,47,127.56,34.77,15,50,509,54.1,7.85,,,,,,,,
MYO1C,O00159-2,Isoform 2 of Unconventional myosin-Ic OS=Homo sapiens GN=MYO1C - [MYO1C_HUMAN],32.2,10,30,31,97,647.87,29.18,28,46,122.39,31.42,30,51,1028,117.8,9.41,,,,,,,,
ATIC,E9PBU3,Phosphoribosylaminoimidazolecarboxamide formyltransferase OS=Homo sapiens GN=ATIC PE=2 SV=1 - [E9PBU3_HUMAN],49.75,8,23,23,96,893.94,44.5,20,45,137.55,49.75,23,51,591,64.5,6.71,,,,,,,,
HNRNPA2B1,P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2 - [ROA2_HUMAN],49.29,2,15,18,96,969.71,44.48,16,48,111.43,48.44,17,48,353,37.4,8.95,,,,,,,,
UPF1,Q92900-2,Isoform 2 of Regulator of nonsense transcripts 1 OS=Homo sapiens GN=UPF1 - [RENT1_HUMAN],35.42,2,32,32,96,813.7,30.77,27,44,131.92,35.42,32,52,1118,123,6.68,,,,,,,,
RUVBL2,Q9Y230,RuvB-like 2 OS=Homo sapiens GN=RUVBL2 PE=1 SV=3 - [RUVB2_HUMAN],54.86,5,27,27,95,1039.54,54.64,26,47,139.72,54.86,27,48,463,51.1,5.64,,,,,,,,
ACSL4,O60488-2,Isoform Short of Long-chain-fatty-acid--CoA ligase 4 OS=Homo sapiens GN=ACSL4 - [ACSL4_HUMAN],37.91,7,21,23,95,767.13,35.67,21,46,126.53,37.46,22,49,670,74.4,8.03,,,,,,,,
DDX3X,O00571-2,Isoform 2 of ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X - [DDX3X_HUMAN],36.69,11,5,21,95,837.59,35.14,20,46,113.51,35.6,20,49,646,71.3,6.62,,,,,,,,
ILF3,Q12906,Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3 - [ILF3_HUMAN],30.2,15,20,23,95,707.24,28.3,22,47,101.31,30.2,23,48,894,95.3,8.76,,,,,,,,
NBEA,Q5T321,Neurobeachin OS=Homo sapiens GN=NBEA PE=4 SV=1 - [Q5T321_HUMAN],13.56,6,26,28,95,635.03,12.74,26,47,97.38,13.56,28,48,2943,327.3,6.16,,,,,,,,
ATXN10,Q9UBB4,Ataxin-10 OS=Homo sapiens GN=ATXN10 PE=1 SV=1 - [ATX10_HUMAN],60.63,6,22,23,94,995.98,60.63,23,48,130.23,59.37,22,46,475,53.5,5.25,,,,,,,,
EPB41L1,Q9H4G0,Band 4.1-like protein 1 OS=Homo sapiens GN=EPB41L1 PE=1 SV=2 - [E41L1_HUMAN],38.71,9,4,26,94,702.81,35.41,23,44,125.29,38.71,26,50,881,98.4,5.62,,,,,,,,
SLC25A4,P12235,ADP/ATP translocase 1 OS=Homo sapiens GN=SLC25A4 PE=1 SV=4 - [ADT1_HUMAN],38.59,2,4,19,94,625.19,38.59,19,48,118.42,38.59,19,46,298,33,9.76,,,,,,,,
EEF1G,P26641,Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3 - [EF1G_HUMAN],35.47,2,18,18,94,1132.06,35.47,17,49,130.89,32.27,15,45,437,50.1,6.67,,,,,,,,
MGEA5,E9PGF9,Bifunctional protein NCOAT OS=Homo sapiens GN=MGEA5 PE=2 SV=1 - [E9PGF9_HUMAN],28.04,5,22,22,94,352.65,26.65,20,46,84.84,24.8,20,48,863,96.9,5.02,,,,,,,,
SNAP91,E9PDG8,Clathrin coat assembly protein AP180 OS=Homo sapiens GN=SNAP91 PE=4 SV=1 - [E9PDG8_HUMAN],21.62,21,14,17,94,768.42,21.18,16,46,109.3,21.62,17,48,902,91.9,4.88,,,,,,,,
DYNC1LI1,Q9Y6G9,Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens GN=DYNC1LI1 PE=1 SV=3 - [DC1L1_HUMAN],61.19,4,26,27,93,576.91,57.36,24,44,126.55,61.19,27,49,523,56.5,6.42,,,,,,,,
PDIA3,G5EA52,"Protein disulfide isomerase family A, member 3, isoform CRA_b OS=Homo sapiens GN=PDIA3 PE=3 SV=1 - [G5EA52_HUMAN]",52.58,2,18,23,93,851.36,52.58,22,45,126.86,52.58,23,48,485,54.9,6.86,,,,,,,,
GNAS,P63092,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short OS=Homo sapiens GN=GNAS PE=1 SV=1 - [GNAS2_HUMAN],47.21,12,13,19,93,672.25,47.21,19,47,92,46.45,18,46,394,45.6,5.82,,,,,,,,
PHGDH,O43175,D-3-phosphoglycerate dehydrogenase OS=Homo sapiens GN=PHGDH PE=1 SV=4 - [SERA_HUMAN],39.59,2,16,16,93,947.14,37.52,15,46,131.24,39.59,16,47,533,56.6,6.71,,,,,,,,
OPA1,O60313,"Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens GN=OPA1 PE=1 SV=3 - [OPA1_HUMAN]",35.31,11,25,25,93,577.62,34.27,24,44,109.71,33.54,24,49,960,111.6,7.87,,,,,,,,
SFPQ,P23246,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2 - [SFPQ_HUMAN]",34.94,3,18,19,93,778.8,29.42,17,45,117.1,33.24,18,48,707,76.1,9.44,,,,,,,,
ATP2B4,P23634-5,Isoform ZK of Plasma membrane calcium-transporting ATPase 4 OS=Homo sapiens GN=ATP2B4 - [AT2B4_HUMAN],22.82,16,5,22,93,1005.31,19.7,19,44,129.42,22.82,22,49,1122,123.9,7.27,,,,,,,,
ENO1,P06733,Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2 - [ENOA_HUMAN],56.91,11,20,21,92,1206.22,56.91,21,46,142.78,56.91,21,46,434,47.1,7.39,,,,,,,,
LRRC40,Q9H9A6,Leucine-rich repeat-containing protein 40 OS=Homo sapiens GN=LRRC40 PE=1 SV=1 - [LRC40_HUMAN],39.7,1,20,20,92,814.54,39.7,20,45,122.75,39.7,20,47,602,68.2,6.43,,,,,,,,
TRAP1,F5H897,"Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens GN=TRAP1 PE=2 SV=1 - [F5H897_HUMAN]",31.49,6,18,19,92,965.16,29.19,17,45,117.9,31.49,19,47,651,74.2,7.87,,,,,,,,
HIP1,O00291,Huntingtin-interacting protein 1 OS=Homo sapiens GN=HIP1 PE=1 SV=5 - [HIP1_HUMAN],27.48,3,22,23,92,772.81,27.39,22,46,105.26,23.82,21,46,1037,116.1,5.3,,,,,,,,
NDUFS1,P28331,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens GN=NDUFS1 PE=1 SV=3 - [NDUS1_HUMAN]",44.29,8,21,21,91,897.65,44.29,21,45,132.09,44.29,21,46,727,79.4,6.23,,,,,,,,
ACOT7,O00154-6,Isoform 6 of Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens GN=ACOT7 - [BACH_HUMAN],41.95,11,13,13,91,821.06,41.95,13,44,149.02,41.95,13,47,329,36.5,7.78,,,,,,,,
CANX,P27824,Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2 - [CALX_HUMAN],33.28,13,17,18,91,793.69,26.52,16,43,124.83,33.28,18,48,592,67.5,4.6,,,,,,,,
FARP1,Q9Y4F1,"FERM, RhoGEF and pleckstrin domain-containing protein 1 OS=Homo sapiens GN=FARP1 PE=1 SV=1 - [FARP1_HUMAN]",27.75,7,24,24,90,852.36,27.18,23,45,110.57,27.75,24,45,1045,118.6,8.15,,,,,,,,
VDAC1,P21796,Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens GN=VDAC1 PE=1 SV=2 - [VDAC1_HUMAN],71.73,2,18,19,88,1319.9,71.73,19,43,142.75,71.73,19,45,283,30.8,8.54,,,,,,,,
PCBP1,Q15365,Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2 - [PCBP1_HUMAN],61.8,3,9,12,88,1390.62,61.8,12,44,155.16,54.78,11,44,356,37.5,7.09,,,,,,,,
ACTR3,P61158,Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3 - [ARP3_HUMAN],60.05,8,17,18,88,781.51,60.05,18,43,134.99,60.05,18,45,418,47.3,5.88,,,,,,,,
PALM,O75781-2,Isoform 2 of Paralemmin-1 OS=Homo sapiens GN=PALM - [PALM_HUMAN],56.85,2,15,16,88,1099.49,56.85,16,45,150.52,54.81,15,43,343,37.1,4.97,,,,,,,,
SARM1,Q6SZW1,Sterile alpha and TIR motif-containing protein 1 OS=Homo sapiens GN=SARM1 PE=1 SV=1 - [SARM1_HUMAN],39.23,5,22,22,88,852.74,37.71,21,43,114.57,37.98,21,45,724,79.3,6.55,,,,,,,,
DLST,P36957,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLST PE=1 SV=4 - [ODO2_HUMAN]",38.41,6,15,15,88,888.86,38.19,14,43,115.34,38.41,15,45,453,48.7,8.95,,,,,,,,
SND1,Q7KZF4,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1 - [SND1_HUMAN],32.64,2,23,23,88,647.81,30.11,21,44,102.31,31.87,22,44,910,101.9,7.17,,,,,,,,
CAMSAP3,Q9P1Y5-2,Isoform 2 of Calmodulin-regulated spectrin-associated protein 3 OS=Homo sapiens GN=CAMSAP3 - [CAMP3_HUMAN],28.76,2,25,25,88,811.89,27.9,24,45,121.53,28.21,23,43,1276,137.8,8.5,,,,,,,,
ALDH2,P05091,"Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens GN=ALDH2 PE=1 SV=2 - [ALDH2_HUMAN]",37.72,14,19,21,87,833.15,37.72,19,43,117.68,37.72,20,44,517,56.3,7.05,,,,,,,,
EPB41L1,Q9H4G0-2,Isoform 2 of Band 4.1-like protein 1 OS=Homo sapiens GN=EPB41L1 - [E41L1_HUMAN],36.59,6,1,23,86,665.53,32.86,20,41,114.86,36.59,23,45,779,87.6,5.92,,,,,,,,
TPP2,P29144,Tripeptidyl-peptidase 2 OS=Homo sapiens GN=TPP2 PE=1 SV=4 - [TPP2_HUMAN],32.83,2,32,32,86,574.92,31.79,30,41,110.36,32.11,31,45,1249,138.3,6.32,,,,,,,,
DARS,P14868,"Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens GN=DARS PE=1 SV=2 - [SYDC_HUMAN]",57.29,7,26,26,85,779.44,55.69,25,42,115.42,57.29,26,43,501,57.1,6.55,,,,,,,,
KIF2A,O00139-2,Isoform 2 of Kinesin-like protein KIF2A OS=Homo sapiens GN=KIF2A - [KIF2A_HUMAN],39.24,15,22,22,85,810.17,36.97,20,43,114.97,38.33,21,42,660,75,6.4,,,,,,,,
NCDN,Q9UBB6,Neurochondrin OS=Homo sapiens GN=NCDN PE=1 SV=1 - [NCDN_HUMAN],31.28,5,18,18,85,1126.4,31.28,18,42,116.69,31.28,18,43,729,78.8,5.48,,,,,,,,
CNTN2,Q02246,Contactin-2 OS=Homo sapiens GN=CNTN2 PE=1 SV=1 - [CNTN2_HUMAN],28.85,1,22,22,85,976.25,28.85,22,43,117.54,28.17,21,42,1040,113.3,7.96,,,,,,,,
PTPRD,F5GWT7,Receptor-type tyrosine-protein phosphatase delta OS=Homo sapiens GN=PTPRD PE=2 SV=1 - [F5GWT7_HUMAN],26.3,13,12,25,85,772.89,24.7,22,41,107.79,24.9,24,44,1502,169.2,6.81,,,,,,,,
ATP2B3,Q16720-8,Isoform ZG of Plasma membrane calcium-transporting ATPase 3 OS=Homo sapiens GN=ATP2B3 - [AT2B3_HUMAN],21.88,16,7,21,85,1025.13,19.55,19,41,109.81,21.88,21,44,1115,122.7,5.76,,,,,,,,
TLN1,Q9Y490,Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3 - [TLN1_HUMAN],18.3,2,24,31,85,901.95,17.39,29,41,121.26,18.3,31,44,2541,269.6,6.07,,,,,,,,
TENM4,Q6N022,Teneurin-4 OS=Homo sapiens GN=TENM4 PE=1 SV=2 - [TEN4_HUMAN],12.39,5,23,28,85,749.94,11.85,27,43,103.02,12.03,27,42,2769,307.8,6.55,,,,,,,,
TPM3,P06753-2,Isoform 2 of Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 - [TPM3_HUMAN],69.76,32,0,21,84,505.81,69.76,21,43,114.9,64.52,20,41,248,29,4.78,,,,,,,,
KARS,Q15046,Lysine--tRNA ligase OS=Homo sapiens GN=KARS PE=1 SV=3 - [SYK_HUMAN],33.33,5,21,21,84,718.17,33.17,19,41,98.36,33.33,21,43,597,68,6.35,,,,,,,,
COPG1,Q9Y678,Coatomer subunit gamma-1 OS=Homo sapiens GN=COPG1 PE=1 SV=1 - [COPG1_HUMAN],29.18,2,16,18,84,713.9,29.18,18,42,100.59,29.18,18,42,874,97.7,5.47,,,,,,,,
TPM3,P06753-5,Isoform 5 of Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 - [TPM3_HUMAN],73.39,30,0,21,83,486.55,66.94,20,42,114.09,68.15,20,41,248,28.9,4.75,,,,,,,,
NONO,Q15233-2,Isoform 2 of Non-POU domain-containing octamer-binding protein OS=Homo sapiens GN=NONO - [NONO_HUMAN],63.09,6,17,18,83,968.6,62.04,17,41,111.49,63.09,18,42,382,43.8,8.63,,,,,,,,
PHB,P35232,Prohibitin OS=Homo sapiens GN=PHB PE=1 SV=1 - [PHB_HUMAN],62.5,7,21,21,83,1391.96,62.5,20,41,131.71,61.76,18,42,272,29.8,5.76,,,,,,,,
SEPT6,Q14141-2,Isoform I of Septin-6 OS=Homo sapiens GN=SEPT6 - [SEPT6_HUMAN],50.35,9,9,19,83,507.64,49.18,18,40,102.33,50.35,19,43,427,48.8,6.81,,,,,,,,
PSMD11,O00231,26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens GN=PSMD11 PE=1 SV=3 - [PSD11_HUMAN],46.21,5,21,21,83,394.41,44.55,18,37,106.74,46.21,21,46,422,47.4,6.48,,,,,,,,
HSPA12A,O43301,Heat shock 70 kDa protein 12A OS=Homo sapiens GN=HSPA12A PE=1 SV=2 - [HS12A_HUMAN],30.52,6,21,21,83,740.31,29.48,20,39,110.12,30.52,21,44,675,74.9,6.77,,,,,,,,
MAP4,P27816,Microtubule-associated protein 4 OS=Homo sapiens GN=MAP4 PE=1 SV=3 - [MAP4_HUMAN],27.43,13,20,20,83,592.39,26.22,19,40,104.48,27.43,20,43,1152,120.9,5.43,,,,,,,,
MTHFD1,G3V2B8,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=2 SV=1 - [G3V2B8_HUMAN]",26.1,4,21,21,83,712.63,24.06,19,39,111.44,26.1,21,44,935,101.5,7.3,,,,,,,,
NAV1,Q8NEY1-2,Isoform 2 of Neuron navigator 1 OS=Homo sapiens GN=NAV1 - [NAV1_HUMAN],20.97,13,27,28,83,781.04,19.74,26,41,113.52,19.8,26,42,1869,201.4,8.22,,,,,,,,
ELAVL4,P26378-2,Isoform 2 of ELAV-like protein 4 OS=Homo sapiens GN=ELAVL4 - [ELAV4_HUMAN],51.91,7,6,22,82,1009.38,51.91,22,41,126.64,51.09,21,41,366,40.4,9.39,,,,,,,,
ELAVL2,B1AM49,ELAV-like protein 2 OS=Homo sapiens GN=ELAVL2 PE=2 SV=1 - [B1AM49_HUMAN],51.42,5,7,22,82,962.35,51.42,22,41,127.4,50.65,21,41,387,42.4,9.04,,,,,,,,
RAP1GDS1,P52306-4,Isoform 4 of Rap1 GTPase-GDP dissociation stimulator 1 OS=Homo sapiens GN=RAP1GDS1 - [GDS1_HUMAN],32.95,14,4,17,82,680.05,30.64,16,40,118.18,32.95,17,42,607,66.3,5.31,,,,,,,,
HNRNPH1,E9PCY7,Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=2 SV=1 - [E9PCY7_HUMAN],32.17,26,3,12,82,1013.63,29.37,10,40,118.8,32.17,12,42,429,47.1,6.34,,,,,,,,
COPB1,P53618,Coatomer subunit beta OS=Homo sapiens GN=COPB1 PE=1 SV=3 - [COPB_HUMAN],28.75,4,20,20,82,475.73,28.12,19,38,112.15,28.65,19,44,953,107.1,6.05,,,,,,,,
ESYT1,Q9BSJ8,Extended synaptotagmin-1 OS=Homo sapiens GN=ESYT1 PE=1 SV=1 - [ESYT1_HUMAN],19.2,3,16,16,82,815.62,19.2,16,41,111.03,19.2,16,41,1104,122.8,5.83,,,,,,,,
PSMC6,P62333,26S protease regulatory subunit 10B OS=Homo sapiens GN=PSMC6 PE=1 SV=1 - [PRS10_HUMAN],65.04,8,19,19,81,697.23,57.33,17,38,111,65.04,19,43,389,44.1,7.49,,,,,,,,
LSAMP,Q13449,Limbic system-associated membrane protein OS=Homo sapiens GN=LSAMP PE=1 SV=2 - [LSAMP_HUMAN],42.31,4,13,13,81,1164.86,42.31,13,40,134.1,42.31,13,41,338,37.4,6.98,,,,,,,,
SRC,P12931-2,Isoform 2 of Proto-oncogene tyrosine-protein kinase Src OS=Homo sapiens GN=SRC - [SRC_HUMAN],42.25,2,14,20,81,702.8,42.25,20,42,100.76,40.96,19,39,542,60.6,7.84,,,,,,,,
KLC2,Q9H0B6,Kinesin light chain 2 OS=Homo sapiens GN=KLC2 PE=1 SV=1 - [KLC2_HUMAN],33.76,9,10,18,81,600.72,32.32,17,40,112.33,31.51,17,41,622,68.9,7.15,,,,,,,,
AP3B2,Q13367,AP-3 complex subunit beta-2 OS=Homo sapiens GN=AP3B2 PE=1 SV=2 - [AP3B2_HUMAN],26.71,6,17,22,81,987.53,24.95,20,40,111.71,26.71,22,41,1082,119,5.59,,,,,,,,
KIF21B,O75037-3,Isoform 3 of Kinesin-like protein KIF21B OS=Homo sapiens GN=KIF21B - [KI21B_HUMAN],19.57,9,18,22,81,771.12,17.2,19,39,90.29,19.57,22,42,1610,179.6,7.09,,,,,,,,
PSMD13,Q9UNM6,26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens GN=PSMD13 PE=1 SV=2 - [PSD13_HUMAN],52.93,7,21,21,80,711.93,52.93,21,40,105.51,52.93,21,40,376,42.9,5.81,,,,,,,,
P4HB,P07237,Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3 - [PDIA1_HUMAN],42.72,13,23,23,80,498.54,34.84,17,36,92.87,42.72,23,44,508,57.1,4.87,,,,,,,,
IMPDH2,P12268,Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens GN=IMPDH2 PE=1 SV=2 - [IMDH2_HUMAN],44.36,3,19,19,79,828.32,44.36,19,40,123.53,44.36,19,39,514,55.8,6.9,,,,,,,,
AHCY,P23526,Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4 - [SAHH_HUMAN],42.13,2,18,19,79,586.79,41.67,18,38,102.92,42.13,19,41,432,47.7,6.34,,,,,,,,
ATP2A2,P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens GN=ATP2A2 PE=1 SV=1 - [AT2A2_HUMAN],27.93,19,23,23,79,674.34,26.68,22,38,111.06,27.35,22,41,1042,114.7,5.34,,,,,,,,
NPEPPS,E9PLK3,Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=2 SV=1 - [E9PLK3_HUMAN],26.67,18,22,22,79,746.67,24.37,20,39,86.25,25.79,21,40,915,102.9,5.6,,,,,,,,
TPM3,P06753-3,Isoform 3 of Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 - [TPM3_HUMAN],64.37,30,1,20,78,490.33,64.37,20,40,108.38,59.11,19,38,247,28.9,4.81,,,,,,,,
PSMC3,E9PM69,26S protease regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=2 SV=1 - [E9PM69_HUMAN],54.66,7,17,17,78,566.43,54.66,17,39,104.32,54.66,17,39,397,44.3,5.05,,,,,,,,
