Fetal Human Brain Synapse Proteomics Screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Symbol,Accession,Description,ΣCoverage,Σ# Proteins,Σ# Unique Peptides,Σ# Peptides,Σ# PSMs,Score A2,Coverage A2,# Peptides A2,# PSM A2,Score A4,Coverage A4,# Peptides A4,# PSM A4,# AAs,MW [kDa],calc. pI,,,,,,,,
PSMD3,O43242,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens GN=PSMD3 PE=1 SV=2 - [PSMD3_HUMAN],22.47,3,9,9,32,300.52,22.47,9,16,21.77,22.47,9,16,534,60.9,8.44,,,,,,,,
SLC25A5,P05141,ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=7 - [ADT2_HUMAN],35.57,3,4,11,32,150.07,27.85,9,15,5.98,35.57,11,17,298,32.8,9.69,,,,,,,,
CLTA,P09496-2,Isoform Non-brain of Clathrin light chain A OS=Homo sapiens GN=CLTA - [CLCA_HUMAN],28.9,12,6,6,32,255.42,28.9,6,14,20.76,28.9,6,18,218,23.6,4.53,,,,,,,,
DNAJA1,P31689,DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=1 SV=2 - [DNJA1_HUMAN],24.43,15,7,8,32,220.33,24.43,8,17,18.17,24.43,8,15,397,44.8,7.08,,,,,,,,
CAPZA2,P47755,F-actin-capping protein subunit alpha-2 OS=Homo sapiens GN=CAPZA2 PE=1 SV=3 - [CAZA2_HUMAN],31.12,4,5,6,32,314.05,31.12,6,16,27.28,31.12,6,16,286,32.9,5.85,,,,,,,,
MLLT4,P55196-2,Isoform 1 of Afadin OS=Homo sapiens GN=MLLT4 - [AFAD_HUMAN],11.85,14,13,13,32,305.94,10.86,12,15,20.08,11.85,13,17,1612,181.9,6.52,,,,,,,,
ATP6V0A1,Q93050-1,Isoform 2 of V-type proton ATPase 116 kDa subunit a isoform 1 OS=Homo sapiens GN=ATP6V0A1 - [VPP1_HUMAN],14.32,12,10,10,32,184.87,14.32,10,17,21.79,14.2,9,15,831,95.7,6.65,,,,,,,,
RBM14,Q96PK6,RNA-binding protein 14 OS=Homo sapiens GN=RBM14 PE=1 SV=2 - [RBM14_HUMAN],18.98,7,10,10,32,327.74,18.98,10,16,24.67,18.98,10,16,669,69.4,9.67,,,,,,,,
VARS,B0V043,Valine--tRNA ligase OS=Homo sapiens GN=VARS PE=2 SV=1 - [B0V043_HUMAN],12.74,7,12,12,31,217.57,11.55,11,16,18.98,12.74,12,15,1264,140.4,7.59,,,,,,,,
FLJ22184,F5H1R7,Protein FLJ22184 OS=Homo sapiens GN=FLJ22184 PE=2 SV=1 - [F5H1R7_HUMAN],11.14,3,10,10,31,383.68,11.14,10,15,32.54,10.4,9,16,1346,132.7,10.48,,,,,,,,
SEC16A,J3KNL6,Protein transport protein Sec16A OS=Homo sapiens GN=SEC16A PE=4 SV=1 - [J3KNL6_HUMAN],7.55,7,11,11,31,157.71,7.55,11,16,8.76,7.55,11,15,2357,251.7,5.8,,,,,,,,
KIF21B,O75037-3,Isoform 3 of Kinesin-like protein KIF21B OS=Homo sapiens GN=KIF21B - [KI21B_HUMAN],11.06,9,10,12,31,244.54,10.68,11,16,13.95,11.06,12,15,1610,179.6,7.09,,,,,,,,
H1F0,P07305-2,Isoform 2 of Histone H1.0 OS=Homo sapiens GN=H1F0 - [H10_HUMAN],31.07,2,7,7,31,216.77,31.07,7,16,6.16,31.07,7,15,177,19.2,10.83,,,,,,,,
PRDX1,Q06830,Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1 - [PRDX1_HUMAN],29.65,3,6,7,31,177.61,20.6,5,15,20.51,29.65,7,16,199,22.1,8.13,,,,,,,,
SEPT6,Q14141-2,Isoform I of Septin-6 OS=Homo sapiens GN=SEPT6 - [SEPT6_HUMAN],18.74,9,3,7,31,192.82,16.16,5,13,21.92,18.74,7,18,427,48.8,6.81,,,,,,,,
FMNL2,Q96PY5,Formin-like protein 2 OS=Homo sapiens GN=FMNL2 PE=1 SV=3 - [FMNL2_HUMAN],14.55,12,14,14,31,281.37,12.62,12,15,22.64,13.54,13,16,1086,123.2,7.4,,,,,,,,
SPTBN4,C9JRP8,"Spectrin beta chain, non-erythrocytic 4 OS=Homo sapiens GN=SPTBN4 PE=2 SV=1 - [C9JRP8_HUMAN]",4.58,5,1,7,30,113.82,4.58,7,15,13.88,4.58,7,15,1309,146,5.8,,,,,,,,
TPM1,F5H7S3,Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1 PE=2 SV=2 - [F5H7S3_HUMAN],42.04,29,4,9,30,245.27,42.04,9,15,33.14,42.04,9,15,245,28.5,4.78,,,,,,,,
PPFIA2,G3V200,Liprin-alpha-2 OS=Homo sapiens GN=PPFIA2 PE=4 SV=2 - [G3V200_HUMAN],12.99,25,8,11,30,245.91,10.67,9,14,21.03,11.31,10,16,1247,142,6,,,,,,,,
JUP,P14923,Junction plakoglobin OS=Homo sapiens GN=JUP PE=1 SV=3 - [PLAK_HUMAN],20.67,5,8,13,30,235.17,18.39,11,14,19.96,20.67,13,16,745,81.7,6.14,,,,,,,,
YWHAB,P31946-2,Isoform Short of 14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB - [1433B_HUMAN],22.13,4,1,5,30,182.28,22.13,5,16,18.4,15.57,4,14,244,27.8,4.83,,,,,,,,
RPL3,P39023,60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2 - [RL3_HUMAN],25.31,7,9,9,30,278.23,25.31,9,15,16.17,25.31,9,15,403,46.1,10.18,,,,,,,,
SEPT2,Q15019,Septin-2 OS=Homo sapiens GN=SEPT2 PE=1 SV=1 - [SEPT2_HUMAN],39.34,17,10,10,30,255.04,39.34,10,15,21.43,38.78,9,15,361,41.5,6.6,,,,,,,,
PCBP2,Q15366-6,Isoform 6 of Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 - [PCBP2_HUMAN],29.92,25,5,7,30,204.16,29.92,7,16,11.53,23.55,6,14,361,38.1,6.79,,,,,,,,
HNRNPUL2,Q1KMD3,Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens GN=HNRNPUL2 PE=1 SV=1 - [HNRL2_HUMAN],16.73,2,10,10,30,199.83,16.73,10,15,21.71,16.73,10,15,747,85.1,4.91,,,,,,,,
DDX5,B4DLW8,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=2 SV=1 - [B4DLW8_HUMAN],21.12,8,6,10,29,319.06,21.12,10,15,22.76,21.12,10,14,535,60.5,9.07,,,,,,,,
NCL,P19338,Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3 - [NUCL_HUMAN],16.9,2,10,10,29,252.78,15.77,9,14,22.01,16.9,10,15,710,76.6,4.7,,,,,,,,
RPL7A,P62424,60S ribosomal protein L7a OS=Homo sapiens GN=RPL7A PE=1 SV=2 - [RL7A_HUMAN],39.47,3,8,8,29,291.11,34.96,7,14,18.81,39.47,8,15,266,30,10.61,,,,,,,,
FLNA,Q5HY54,Filamin-A OS=Homo sapiens GN=FLNA PE=2 SV=1 - [Q5HY54_HUMAN],6.79,4,10,10,29,327.53,6.79,10,15,17.29,6.29,9,14,2607,276.4,6.05,,,,,,,,
HUWE1,Q7Z6Z7-2,Isoform 2 of E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 - [HUWE1_HUMAN],4.27,6,14,14,29,268.65,3.99,13,16,17.29,3.35,11,13,4358,479.9,5.24,,,,,,,,
IGSF21,Q96ID5,Immunoglobulin superfamily member 21 OS=Homo sapiens GN=IGSF21 PE=2 SV=1 - [IGS21_HUMAN],29.98,2,9,9,29,223.3,25.7,8,14,17.26,27.41,8,15,467,51.8,6.93,,,,,,,,
MAP6,Q96JE9-2,Isoform 2 of Microtubule-associated protein 6 OS=Homo sapiens GN=MAP6 - [MAP6_HUMAN],32.8,2,9,9,29,234,32.8,9,14,21.9,32.8,9,15,439,47.3,9.73,,,,,,,,
VDAC3,Q9Y277-2,Isoform 2 of Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens GN=VDAC3 - [VDAC3_HUMAN],30.99,8,7,8,29,465.15,30.63,7,15,23.23,30.99,8,14,284,30.8,8.66,,,,,,,,
PFKM,P08237-2,"Isoform 2 of 6-phosphofructokinase, muscle type OS=Homo sapiens GN=PFKM - [K6PF_HUMAN]",16.96,17,9,10,28,261.06,16.96,10,14,14.08,16.96,10,14,749,81.7,7.62,,,,,,,,
MAP4,P27816-6,Isoform 6 of Microtubule-associated protein 4 OS=Homo sapiens GN=MAP4 - [MAP4_HUMAN],9.96,12,4,8,28,197.99,9.96,8,14,17.74,9.96,8,14,1135,119.9,6.23,,,,,,,,
PHB,P35232,Prohibitin OS=Homo sapiens GN=PHB PE=1 SV=1 - [PHB_HUMAN],38.6,7,8,8,28,268.57,34.19,7,14,13.65,38.6,8,14,272,29.8,5.76,,,,,,,,
HSPH1,Q92598-2,Isoform Beta of Heat shock protein 105 kDa OS=Homo sapiens GN=HSPH1 - [HS105_HUMAN],13.64,11,7,8,28,274.69,13.64,8,14,20.7,13.64,8,14,814,92.1,5.55,,,,,,,,
NCKAP1,Q9Y2A7,Nck-associated protein 1 OS=Homo sapiens GN=NCKAP1 PE=1 SV=1 - [NCKP1_HUMAN],8.24,2,7,7,28,184,8.24,7,15,13.64,7,6,13,1128,128.7,6.62,,,,,,,,
OPCML,B2CZX2,Opioid binding protein/cell adhesion molecule-like isoform c OS=Homo sapiens GN=OPCML PE=2 SV=1 - [B2CZX2_HUMAN],32.57,4,7,7,27,360.76,32.57,7,13,22.77,32.57,7,14,304,33.6,5.95,,,,,,,,
IMMT,B9A067,Mitochondrial inner membrane protein OS=Homo sapiens GN=IMMT PE=2 SV=2 - [B9A067_HUMAN],22.93,8,12,12,27,62.48,18.28,10,13,13.52,20.96,11,14,711,78.9,7.06,,,,,,,,
NSF,I3L0N3,Vesicle-fusing ATPase OS=Homo sapiens GN=NSF PE=2 SV=1 - [I3L0N3_HUMAN],17.86,7,11,11,27,180.37,17.86,11,13,18.15,17.86,11,14,739,82,6.81,,,,,,,,
VDAC1,P21796,Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens GN=VDAC1 PE=1 SV=2 - [VDAC1_HUMAN],31.8,2,6,7,27,299.77,31.8,7,13,21.41,31.8,7,14,283,30.8,8.54,,,,,,,,
HADHA,P40939,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2 - [ECHA_HUMAN]",14.94,3,9,9,27,243.31,11.53,7,12,18.06,14.94,9,15,763,82.9,9.04,,,,,,,,
SATB2,Q3ZB87,DNA-binding protein SATB2 OS=Homo sapiens GN=SATB2 PE=2 SV=1 - [Q3ZB87_HUMAN],21.63,5,11,11,27,117.39,21.63,11,14,9.65,21.63,11,13,615,69.1,6.57,,,,,,,,
KRT73,Q86Y46-2,"Isoform 2 of Keratin, type II cytoskeletal 73 OS=Homo sapiens GN=KRT73 - [K2C73_HUMAN]",8.66,12,2,4,27,246.33,8.66,4,14,16.06,8.66,4,13,381,42,8.25,,,,,,,,
PPP1R9B,Q96SB3,Neurabin-2 OS=Homo sapiens GN=PPP1R9B PE=1 SV=2 - [NEB2_HUMAN],16.93,1,7,8,27,255.29,16.93,8,14,29.75,15.71,7,13,815,89.1,4.97,,,,,,,,
PTBP2,Q9UKA9,Polypyrimidine tract-binding protein 2 OS=Homo sapiens GN=PTBP2 PE=1 SV=1 - [PTBP2_HUMAN],25.05,15,7,8,27,203.44,25.05,8,13,17.92,25.05,8,14,531,57.5,8.66,,,,,,,,
MYH11,P35749-4,Isoform 4 of Myosin-11 OS=Homo sapiens GN=MYH11 - [MYH11_HUMAN],4.9,4,1,9,26,247.69,4.9,9,13,10.23,4.9,9,13,1938,223.4,5.53,,,,,,,,
HNRNPF,P52597,Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens GN=HNRNPF PE=1 SV=3 - [HNRPF_HUMAN],13.25,1,2,4,26,244.01,10.36,3,12,23.78,9.4,3,14,415,45.6,5.58,,,,,,,,
PLEC,Q15149-7,Isoform 7 of Plectin OS=Homo sapiens GN=PLEC - [PLEC_HUMAN],3.74,11,13,13,26,234.63,3.54,12,13,18.95,3.28,11,13,4515,512.3,5.77,,,,,,,,
CENPV,Q7Z7K6-3,Isoform 3 of Centromere protein V OS=Homo sapiens GN=CENPV - [CENPV_HUMAN],40.81,3,6,6,26,292,40.81,6,13,27.19,40.81,6,13,272,29.7,9.73,,,,,,,,
DYNC1LI1,Q9Y6G9,Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens GN=DYNC1LI1 PE=1 SV=3 - [DC1L1_HUMAN],25.05,2,10,10,26,164.74,21.41,9,12,18.83,25.05,10,14,523,56.5,6.42,,,,,,,,
FAM171A2,A8MVW0,Protein FAM171A2 OS=Homo sapiens GN=FAM171A2 PE=1 SV=1 - [F1712_HUMAN],18.52,1,10,11,25,171.52,17.43,10,14,19.17,12.23,7,11,826,87.4,8.05,,,,,,,,
MAP1S,B4DH53,MAP1S light chain OS=Homo sapiens GN=MAP1S PE=2 SV=1 - [B4DH53_HUMAN],12.97,6,9,9,25,216.74,11.13,8,12,14.9,12.97,9,13,1033,109.7,7.65,,,,,,,,
ARVCF,C9JJX6,Armadillo repeat protein deleted in velo-cardio-facial syndrome OS=Homo sapiens GN=ARVCF PE=2 SV=1 - [C9JJX6_HUMAN],17.69,4,10,10,25,220.65,13.55,7,11,10.59,17.69,10,14,893,96.8,7.05,,,,,,,,
PSMD2,E7EW34,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=2 SV=1 - [E7EW34_HUMAN],17.22,5,8,8,25,207.89,14.52,7,12,20.19,17.22,8,13,778,85.6,5.19,,,,,,,,
CFL1,G3V1A4,"Cofilin 1 (Non-muscle), isoform CRA_a OS=Homo sapiens GN=CFL1 PE=4 SV=1 - [G3V1A4_HUMAN]",37.58,9,6,6,25,219.3,37.58,6,13,19.86,37.58,6,12,149,16.8,8.35,,,,,,,,
IMPDH2,H0Y4R1,Inosine-5'-monophosphate dehydrogenase 2 (Fragment) OS=Homo sapiens GN=IMPDH2 PE=3 SV=1 - [H0Y4R1_HUMAN],31.06,3,9,9,25,118.02,31.06,9,13,7.29,27.23,8,12,470,51,8.18,,,,,,,,
ACTN4,K7EJH8,Alpha-actinin-4 (Fragment) OS=Homo sapiens GN=ACTN4 PE=4 SV=1 - [K7EJH8_HUMAN],62.64,1,2,9,25,225.69,61.54,8,12,15.27,62.64,9,13,182,21.4,6.7,,,,,,,,
OGT,O15294-3,Isoform 1 of UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Homo sapiens GN=OGT - [OGT1_HUMAN],13.61,5,9,9,25,160.67,11.29,8,12,6.04,13.61,9,13,1036,115.6,6.65,,,,,,,,
PAFAH1B1,P43034,Platelet-activating factor acetylhydrolase IB subunit alpha OS=Homo sapiens GN=PAFAH1B1 PE=1 SV=2 - [LIS1_HUMAN],22.93,5,6,6,25,159.58,22.93,6,13,22.95,22.93,6,12,410,46.6,7.37,,,,,,,,
CYFIP1,Q7L576,Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens GN=CYFIP1 PE=1 SV=1 - [CYFP1_HUMAN],6.46,9,1,7,25,223.75,6.46,7,12,23.05,6.46,7,13,1253,145.1,6.9,,,,,,,,
MICAL3,Q7RTP6,Protein-methionine sulfoxide oxidase MICAL3 OS=Homo sapiens GN=MICAL3 PE=1 SV=2 - [MICA3_HUMAN],6.04,8,9,9,25,220.91,5.09,8,13,12.5,5.64,8,12,2002,224.2,5.55,,,,,,,,
PSMD1,Q99460-2,Isoform 2 of 26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens GN=PSMD1 - [PSMD1_HUMAN],13.23,5,9,9,25,218.08,13.12,8,12,18.91,13.23,9,13,922,102.2,5.27,,,,,,,,
KLC2,Q9H0B6-2,Isoform 2 of Kinesin light chain 2 OS=Homo sapiens GN=KLC2 - [KLC2_HUMAN],15.6,15,1,7,25,150.92,15.6,7,13,9.31,15.6,7,12,545,60,7.28,,,,,,,,
EIF4A1,P60842,Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1 - [IF4A1_HUMAN],18.72,22,2,6,24,332.7,17,5,12,18.41,18.72,6,12,406,46.1,5.48,,,,,,,,
MAP4,F8W9U4,Microtubule-associated protein OS=Homo sapiens GN=MAP4 PE=2 SV=1 - [F8W9U4_HUMAN],10.99,4,3,7,24,236.24,10.99,7,12,18.03,10.99,7,12,828,88.2,9.22,,,,,,,,
HECTD4,J3KPF0,Probable E3 ubiquitin-protein ligase HECTD4 OS=Homo sapiens GN=HECTD4 PE=4 SV=1 - [J3KPF0_HUMAN],4.26,8,10,10,24,158.95,4.26,10,13,12.6,3.18,8,11,4246,466,6.18,,,,,,,,
BCR,P11274-2,Isoform 2 of Breakpoint cluster region protein OS=Homo sapiens GN=BCR - [BCR_HUMAN],10.02,4,7,7,24,181.68,10.02,7,12,7.54,10.02,7,12,1227,137.6,7.21,,,,,,,,
SLC25A6,P12236,ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4 - [ADT3_HUMAN],24.16,4,1,8,24,138.57,21.48,7,12,2.11,19.13,7,12,298,32.8,9.74,,,,,,,,
PFKL,P17858,"6-phosphofructokinase, liver type OS=Homo sapiens GN=PFKL PE=1 SV=6 - [K6PL_HUMAN]",17.31,2,8,9,24,251.87,16.67,8,11,24.9,17.31,9,13,780,85,7.5,,,,,,,,
STIP1,P31948,Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1 PE=1 SV=1 - [STIP1_HUMAN],17.68,5,8,8,24,188.93,17.68,8,12,6.74,17.68,8,12,543,62.6,6.8,,,,,,,,
CNTN2,Q02246,Contactin-2 OS=Homo sapiens GN=CNTN2 PE=1 SV=1 - [CNTN2_HUMAN],13.65,1,10,10,24,255.02,12.6,9,12,15.4,11.92,9,12,1040,113.3,7.96,,,,,,,,
PTPRS,Q13332-7,Isoform 3 of Receptor-type tyrosine-protein phosphatase S OS=Homo sapiens GN=PTPRS - [PTPRS_HUMAN],7.33,16,2,8,24,228.4,7.33,8,12,18.73,7.33,8,12,1501,168.3,6.54,,,,,,,,
ATAT1,Q5SQI0-7,Isoform 7 of Alpha-tubulin N-acetyltransferase OS=Homo sapiens GN=ATAT1 - [ATAT_HUMAN],26,7,6,6,24,118.13,23.33,5,11,9.64,26,6,13,300,34,9.95,,,,,,,,
TMEFF1,Q8IYR6,Tomoregulin-1 OS=Homo sapiens GN=TMEFF1 PE=1 SV=1 - [TEFF1_HUMAN],21.84,3,8,8,24,232.91,17.11,6,10,17.58,21.84,8,14,380,40.9,6.68,,,,,,,,
NAV1,Q8NEY1-2,Isoform 2 of Neuron navigator 1 OS=Homo sapiens GN=NAV1 - [NAV1_HUMAN],10.11,18,10,11,24,175.56,9.52,10,12,13.52,8.88,10,12,1869,201.4,8.22,,,,,,,,
WASF1,Q92558,Wiskott-Aldrich syndrome protein family member 1 OS=Homo sapiens GN=WASF1 PE=1 SV=1 - [WASF1_HUMAN],21.47,4,9,9,24,176.16,15.74,7,11,22.16,21.47,9,13,559,61.6,6.46,,,,,,,,
NEO1,Q92859-2,Isoform 2 of Neogenin OS=Homo sapiens GN=NEO1 - [NEO1_HUMAN],7.39,5,7,7,24,131.94,7.39,7,12,11.11,7.39,7,12,1408,154.2,6.37,,,,,,,,
DOCK7,Q96N67-4,Isoform 4 of Dedicator of cytokinesis protein 7 OS=Homo sapiens GN=DOCK7 - [DOCK7_HUMAN],5.62,8,9,9,24,140.59,4.96,8,12,6.57,5.62,9,12,2098,238.1,6.83,,,,,,,,
PABPC4,B1ANR0,"Poly(A) binding protein, cytoplasmic 4 (Inducible form), isoform CRA_e OS=Homo sapiens GN=PABPC4 PE=4 SV=1 - [B1ANR0_HUMAN]",13.33,12,2,8,23,294.35,12.36,7,11,23.65,13.33,8,12,615,67.9,9.45,,,,,,,,
STMN2,E5RGX5,Stathmin OS=Homo sapiens GN=STMN2 PE=2 SV=1 - [E5RGX5_HUMAN],41.07,3,3,7,23,187.55,41.07,7,11,22.04,29.76,6,12,168,19.6,7.28,,,,,,,,
MPRIP,H0Y2S9,Myosin phosphatase Rho-interacting protein (Fragment) OS=Homo sapiens GN=MPRIP PE=4 SV=3 - [H0Y2S9_HUMAN],7.36,7,10,10,23,114.78,6.8,9,11,7.6,6.74,9,12,1794,203.4,5.22,,,,,,,,
KALRN,H7BXZ5,Kalirin (Fragment) OS=Homo sapiens GN=KALRN PE=4 SV=1 - [H7BXZ5_HUMAN],4.43,35,7,11,23,120.04,3.69,9,10,7.91,4.43,11,13,2955,336.1,6.05,,,,,,,,
CHL1,O00533,Neural cell adhesion molecule L1-like protein OS=Homo sapiens GN=CHL1 PE=1 SV=4 - [CHL1_HUMAN],13.08,6,10,10,23,123.59,13.08,10,12,12.68,11.51,9,11,1208,135,5.76,,,,,,,,
HSPA9,P38646,"Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2 - [GRP75_HUMAN]",15.02,4,8,8,23,258.02,15.02,8,11,20.64,15.02,8,12,679,73.6,6.16,,,,,,,,
NDUFV1,P49821-2,"Isoform 2 of NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Homo sapiens GN=NDUFV1 - [NDUV1_HUMAN]",34.51,13,10,10,23,280.53,29.45,9,11,12.11,33.41,9,12,455,49.8,8.21,,,,,,,,
UBR4,Q5T4S7-3,Isoform 3 of E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens GN=UBR4 - [UBR4_HUMAN],2.38,7,9,9,23,94.25,2.38,9,12,5.4,2.11,8,11,5159,571.5,6.04,,,,,,,,
CNTN4,Q8IWV2,Contactin-4 OS=Homo sapiens GN=CNTN4 PE=1 SV=1 - [CNTN4_HUMAN],11.7,9,8,8,23,157.15,11.7,8,12,13.87,11.7,8,11,1026,113.4,7.47,,,,,,,,
FBXO41,Q8TF61,F-box only protein 41 OS=Homo sapiens GN=FBXO41 PE=2 SV=5 - [FBX41_HUMAN],13.6,2,9,9,23,145.73,13.6,9,11,11.95,13.6,9,12,875,94.4,8.24,,,,,,,,
IGF2BP2,Q9Y6M1-1,Isoform 2 of Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens GN=IGF2BP2 - [IF2B2_HUMAN],27.7,7,8,10,23,281.41,27.7,10,12,12.38,24.64,9,11,556,61.8,8.25,,,,,,,,
PCBP1,Q15365,Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2 - [PCBP1_HUMAN],39.89,2,5,7,22,95.29,39.89,7,11,5.78,39.89,7,11,356,37.5,7.09,,,,,,,,
PSMC1,P62191,26S protease regulatory subunit 4 OS=Homo sapiens GN=PSMC1 PE=1 SV=1 - [PRS4_HUMAN],21.14,6,6,7,22,91.59,21.14,7,12,10.97,17.05,6,10,440,49.2,6.21,,,,,,,,
RPS4X,P62701,"40S ribosomal protein S4, X isoform OS=Homo sapiens GN=RPS4X PE=1 SV=2 - [RS4X_HUMAN]",24.71,5,7,7,22,157.03,24.71,7,10,15.38,24.71,7,12,263,29.6,10.15,,,,,,,,
CDH2,A8MWK3,Cadherin-2 OS=Homo sapiens GN=CDH2 PE=2 SV=1 - [A8MWK3_HUMAN],16,4,7,7,22,250.16,16,7,12,17.19,14.17,6,10,875,97,4.84,,,,,,,,
IDH2,B4DFL2,Isocitrate dehydrogenase [NADP] OS=Homo sapiens GN=IDH2 PE=2 SV=1 - [B4DFL2_HUMAN],27.75,4,8,8,22,62.66,19.75,6,10,4.51,27.75,8,12,400,45.2,7.75,,,,,,,,
OPA1,O60313,"Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens GN=OPA1 PE=1 SV=3 - [OPA1_HUMAN]",13.23,7,9,9,22,103.31,13.23,9,12,6.41,9.9,7,10,960,111.6,7.87,,,,,,,,
SLC25A12,O75746,Calcium-binding mitochondrial carrier protein Aralar1 OS=Homo sapiens GN=SLC25A12 PE=1 SV=2 - [CMC1_HUMAN],14.6,8,8,8,22,202.58,14.6,8,11,12.49,14.6,8,11,678,74.7,8.38,,,,,,,,
CNTFR,P26992,Ciliary neurotrophic factor receptor subunit alpha OS=Homo sapiens GN=CNTFR PE=1 SV=2 - [CNTFR_HUMAN],16.4,2,5,5,22,138.23,16.4,5,11,13.15,16.4,5,11,372,40.6,6.76,,,,,,,,
PSMC4,P43686,26S protease regulatory subunit 6B OS=Homo sapiens GN=PSMC4 PE=1 SV=2 - [PRS6B_HUMAN],23.92,2,8,8,22,137.44,17.7,6,10,9.15,21.77,7,12,418,47.3,5.21,,,,,,,,
ACTR3,P61158,Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3 - [ARP3_HUMAN],32.06,5,9,9,22,163.57,32.06,9,12,13.08,27.27,8,10,418,47.3,5.88,,,,,,,,
DNM1,Q05193-3,Isoform 3 of Dynamin-1 OS=Homo sapiens GN=DNM1 - [DYN1_HUMAN],14.22,5,5,9,22,219.79,14.22,9,12,9.23,13.04,8,10,851,96,7.01,,,,,,,,
DYNC1I2,Q13409-6,Isoform 2F of Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens GN=DYNC1I2 - [DC1I2_HUMAN],11.62,19,5,5,22,263.01,11.62,5,11,20.15,11.62,5,11,611,68.3,5.29,,,,,,,,
PICALM,Q13492-3,Isoform 3 of Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens GN=PICALM - [PICAL_HUMAN],10.33,10,3,5,22,313.08,10.33,5,11,18.68,10.33,5,11,610,66.4,8.81,,,,,,,,
ARHGEF7,Q14155-6,Isoform 6 of Rho guanine nucleotide exchange factor 7 OS=Homo sapiens GN=ARHGEF7 - [ARHG7_HUMAN],16.64,17,7,7,22,196.94,15.04,6,11,15.04,13.76,6,11,625,70.4,7.05,,,,,,,,
RUFY3,Q7L099-2,Isoform 2 of Protein RUFY3 OS=Homo sapiens GN=RUFY3 - [RUFY3_HUMAN],22.33,7,8,8,22,238.57,19.57,7,11,17.85,19.76,7,11,506,55.8,5.57,,,,,,,,
ARHGEF2,Q92974-3,Isoform 3 of Rho guanine nucleotide exchange factor 2 OS=Homo sapiens GN=ARHGEF2 - [ARHG2_HUMAN],12.21,4,8,8,22,205.06,11.48,7,11,14.71,10.02,7,11,958,108.2,6.87,,,,,,,,
DNM3,Q9UQ16-2,Isoform 2 of Dynamin-3 OS=Homo sapiens GN=DNM3 - [DYN3_HUMAN],10.71,8,4,8,22,147.26,10.71,8,12,4.9,8.96,7,10,859,96.6,8.22,,,,,,,,
ATP1B1,B7Z9S8,Sodium/potassium-transporting ATPase subunit beta-1 OS=Homo sapiens GN=ATP1B1 PE=2 SV=1 - [B7Z9S8_HUMAN],22.67,4,5,5,21,154.58,22.67,5,13,14.01,21.05,4,8,247,28.6,7.59,,,,,,,,
RPL6,F8W181,60S ribosomal protein L6 (Fragment) OS=Homo sapiens GN=RPL6 PE=2 SV=1 - [F8W181_HUMAN],38.5,5,8,8,21,118.22,33.63,6,11,11.25,34.07,7,10,226,25.9,10.67,,,,,,,,
SRGAP1,G5EA48,"SLIT-ROBO Rho GTPase activating protein 1, isoform CRA_a OS=Homo sapiens GN=SRGAP1 PE=4 SV=1 - [G5EA48_HUMAN]",13.8,3,7,9,21,100.37,12.13,8,10,13.56,13.8,9,11,1022,116.8,6.74,,,,,,,,
